OLINDA - Organ Level INternal Dose Assessment Code (Version 2.2; copyright Vanderbilt University - 2012),
Total Dose Conversion Factors [mSv/MBq-s] - Nuclide:Zr-89 (78.41 h) for ICRP 89 Adult Male,

,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body,
Pancreas,5.25E-06,3.74E-08,2.53E-06,4.40E-08,2.80E-06,1.02E-05,5.64E-06,1.69E-05,3.59E-06,3.82E-07,3.69E-06,3.69E-06,2.42E-06,3.06E-06,1.54E-06,2.09E-04,4.17E-07,8.02E-08,1.23E-06,5.71E-07,5.71E-07,3.85E-06,6.00E-08,9.33E-07,3.27E-07,2.43E-07,1.41E-06,
Prostate,6.03E-07,3.56E-09,1.44E-07,6.72E-09,4.76E-07,1.17E-06,1.60E-06,2.48E-07,1.10E-06,1.27E-05,1.31E-07,1.31E-07,9.91E-07,3.21E-07,9.60E-08,4.17E-07,1.35E-03,2.19E-08,6.82E-07,3.44E-07,3.44E-07,3.95E-07,8.30E-07,8.00E-08,2.83E-08,9.76E-06,1.35E-06,
Salivary Glands,7.18E-08,4.69E-06,1.35E-06,2.70E-06,6.24E-08,4.63E-08,2.13E-08,1.30E-07,3.75E-08,6.06E-09,2.02E-07,2.02E-07,5.44E-08,1.09E-07,4.22E-07,8.02E-08,7.58E-09,2.75E-04,6.82E-07,7.00E-07,7.00E-07,9.91E-08,7.97E-09,4.89E-07,1.92E-06,4.40E-09,1.16E-06,
Red Marrow,1.23E-06,9.47E-07,1.88E-06,6.34E-07,6.58E-07,8.16E-07,7.18E-07,1.07E-06,6.78E-07,1.65E-06,1.10E-06,1.10E-06,1.11E-06,1.00E-06,1.69E-06,8.39E-07,2.27E-06,7.84E-07,1.09E-05,1.81E-06,5.71E-06,1.20E-06,3.08E-07,1.81E-06,1.46E-06,1.17E-06,1.10E-06,
Osteogenic Cells,8.57E-07,1.66E-06,1.13E-06,2.09E-06,4.01E-07,5.02E-07,4.72E-07,6.48E-07,4.34E-07,6.66E-07,5.20E-07,5.20E-07,7.64E-07,5.38E-07,7.89E-07,5.50E-07,9.45E-07,1.80E-06,6.45E-06,9.82E-06,1.07E-05,7.37E-07,2.61E-07,6.31E-07,8.36E-07,5.75E-07,1.22E-06,
Spleen,1.13E-05,4.80E-08,1.63E-06,4.57E-08,7.19E-07,3.67E-06,1.19E-06,6.93E-06,7.72E-07,3.31E-07,1.09E-06,1.09E-06,6.57E-06,9.40E-07,1.29E-06,3.68E-06,3.62E-07,9.80E-08,8.11E-07,4.48E-07,4.48E-07,1.93E-04,5.10E-08,4.77E-07,3.30E-07,1.73E-07,1.25E-06,
Testes,5.99E-08,1.18E-09,1.94E-08,3.31E-09,6.44E-08,1.12E-07,1.78E-07,3.76E-08,8.15E-08,1.08E-06,1.91E-08,1.91E-08,1.03E-07,4.58E-08,1.61E-08,6.00E-08,8.92E-07,7.97E-09,3.01E-07,3.93E-07,3.93E-07,5.10E-08,6.84E-04,1.13E-08,7.86E-09,2.25E-06,1.10E-06,
Thymus,5.19E-07,1.79E-07,3.94E-06,1.98E-07,6.22E-07,3.96E-07,1.68E-07,1.35E-06,3.20E-07,4.28E-08,1.07E-05,1.10E-05,3.17E-07,1.04E-06,4.27E-06,9.84E-07,8.00E-08,4.75E-07,7.62E-07,4.48E-07,4.48E-07,4.60E-07,1.13E-08,8.61E-04,5.68E-06,3.02E-08,1.17E-06,
Thyroid,3.32E-07,5.73E-07,1.23E-05,4.90E-07,2.70E-07,1.56E-07,6.76E-08,5.16E-07,5.81E-08,2.80E-08,1.29E-06,1.29E-06,1.65E-07,4.54E-07,3.08E-06,3.27E-07,3.12E-08,1.82E-06,6.82E-07,7.00E-07,7.00E-07,3.30E-07,7.86E-09,5.91E-06,1.05E-03,2.02E-08,1.16E-06,
Urinary Bladder Wall,2.98E-07,2.27E-09,7.10E-08,7.61E-09,3.02E-07,7.43E-07,1.22E-06,1.37E-07,8.93E-07,6.80E-06,7.73E-08,7.73E-08,4.17E-07,1.77E-07,5.34E-08,2.43E-07,9.95E-06,4.40E-09,6.82E-07,3.44E-07,3.44E-07,1.73E-07,2.25E-06,3.02E-08,2.02E-08,8.88E-05,1.35E-06,
Total Body,8.96E-07,4.22E-07,8.22E-07,4.75E-07,7.51E-07,9.49E-07,9.24E-07,7.61E-07,8.94E-07,1.09E-06,6.41E-07,6.41E-07,9.33E-07,6.92E-07,7.17E-07,8.14E-07,1.14E-06,6.60E-07,1.19E-06,1.09E-06,1.09E-06,8.60E-07,9.87E-07,7.46E-07,8.81E-07,1.04E-06,1.10E-06,

Any bone activity on bone surfaces



