OLINDA - Organ Level INternal Dose Assessment Code (Version 2.2; copyright Vanderbilt University - 2012),
Total Dose Conversion Factors [mSv/MBq-s] - Nuclide:I-124 (4.18 d) for ICRP 89 Adult Male,

,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body,
Pancreas,5.00E-06,3.73E-08,2.42E-06,4.62E-08,2.61E-06,9.88E-06,5.35E-06,1.64E-05,3.44E-06,3.62E-07,3.46E-06,3.46E-06,2.26E-06,2.95E-06,1.45E-06,2.99E-04,4.02E-07,7.10E-08,1.18E-06,5.40E-07,5.40E-07,3.63E-06,5.77E-08,8.86E-07,3.10E-07,2.37E-07,1.55E-06,
Prostate,5.85E-07,3.98E-09,1.20E-07,6.10E-09,4.27E-07,1.10E-06,1.52E-06,2.32E-07,9.84E-07,1.21E-05,1.25E-07,1.25E-07,9.27E-07,3.01E-07,9.45E-08,4.02E-07,2.04E-03,2.47E-08,6.55E-07,3.27E-07,3.27E-07,3.25E-07,8.27E-07,7.47E-08,1.90E-08,9.36E-06,1.49E-06,
Salivary Glands,6.89E-08,4.36E-06,1.27E-06,2.60E-06,6.37E-08,4.19E-08,2.02E-08,1.21E-07,4.23E-08,6.55E-09,1.95E-07,1.95E-07,5.16E-08,1.06E-07,3.84E-07,7.10E-08,7.32E-09,4.08E-04,6.46E-07,6.65E-07,6.65E-07,9.66E-08,7.38E-09,4.89E-07,1.79E-06,4.10E-09,1.32E-06,
Red Marrow,1.16E-06,8.98E-07,1.77E-06,5.95E-07,6.25E-07,7.73E-07,6.80E-07,1.02E-06,6.38E-07,1.56E-06,1.05E-06,1.05E-06,1.05E-06,9.38E-07,1.61E-06,7.86E-07,2.14E-06,7.42E-07,1.60E-05,1.69E-06,9.26E-06,1.13E-06,2.88E-07,1.73E-06,1.38E-06,1.11E-06,1.20E-06,
Osteogenic Cells,8.51E-07,1.68E-06,1.13E-06,2.10E-06,3.87E-07,4.89E-07,4.57E-07,6.41E-07,4.25E-07,6.68E-07,5.15E-07,5.15E-07,7.60E-07,5.32E-07,8.07E-07,5.38E-07,9.50E-07,1.79E-06,1.00E-05,1.31E-05,1.42E-05,7.38E-07,2.58E-07,6.45E-07,8.31E-07,5.78E-07,1.32E-06,
Spleen,1.10E-05,4.65E-08,1.57E-06,4.01E-08,6.86E-07,3.50E-06,1.10E-06,6.63E-06,7.01E-07,3.20E-07,1.04E-06,1.04E-06,6.54E-06,8.58E-07,1.28E-06,3.50E-06,3.48E-07,8.74E-08,7.65E-07,4.25E-07,4.25E-07,2.76E-04,4.63E-08,4.61E-07,3.30E-07,1.68E-07,1.40E-06,
Testes,6.00E-08,1.23E-09,2.00E-08,3.29E-09,6.32E-08,1.04E-07,1.68E-07,3.45E-08,8.23E-08,9.86E-07,2.01E-08,2.01E-08,1.04E-07,4.27E-08,1.58E-08,5.77E-08,8.68E-07,7.38E-09,2.82E-07,3.67E-07,3.67E-07,4.62E-08,1.02E-03,1.15E-08,7.83E-09,2.21E-06,1.25E-06,
Thymus,4.74E-07,1.69E-07,3.55E-06,1.90E-07,6.39E-07,3.89E-07,1.59E-07,1.29E-06,3.07E-07,3.99E-08,9.99E-06,1.12E-05,2.94E-07,9.61E-07,4.04E-06,8.22E-07,7.47E-08,4.55E-07,7.17E-07,4.26E-07,4.26E-07,4.38E-07,1.15E-08,1.29E-03,5.52E-06,2.88E-08,1.32E-06,
Thyroid,3.02E-07,5.40E-07,1.24E-05,4.52E-07,2.55E-07,1.54E-07,6.63E-08,4.83E-07,5.08E-08,2.39E-08,1.28E-06,1.28E-06,1.56E-07,4.24E-07,3.05E-06,3.10E-07,2.74E-08,1.81E-06,6.46E-07,6.65E-07,6.65E-07,3.30E-07,7.83E-09,5.63E-06,1.59E-03,1.75E-08,1.32E-06,
Urinary Bladder Wall,3.01E-07,2.92E-09,7.16E-08,7.07E-09,2.84E-07,7.04E-07,1.16E-06,1.29E-07,8.15E-07,6.46E-06,7.38E-08,7.38E-08,4.07E-07,1.67E-07,5.28E-08,2.37E-07,9.54E-06,4.10E-09,6.55E-07,3.27E-07,3.27E-07,1.68E-07,2.22E-06,2.88E-08,1.75E-08,1.21E-04,1.49E-06,
Total Body,1.07E-06,6.14E-07,9.96E-07,6.65E-07,9.29E-07,1.12E-06,1.10E-06,9.38E-07,1.07E-06,1.25E-06,8.23E-07,8.23E-07,1.10E-06,8.70E-07,8.97E-07,9.88E-07,1.30E-06,8.43E-07,1.34E-06,1.25E-06,1.25E-06,1.03E-06,1.16E-06,9.24E-07,1.06E-06,1.20E-06,1.26E-06,

Any bone activity on bone surfaces



