,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Heart Wall,1.85E-07,7.41E-09,9.35E-07,8.62E-09,2.21E-07,1.63E-07,9.02E-08,8.08E-07,1.26E-07,8.81E-09,3.20E-05,8.99E-05,8.88E-08,4.34E-07,7.09E-07,5.47E-07,1.06E-08,2.27E-08,1.22E-07,6.45E-08,6.45E-08,1.60E-07,7.75E-10,1.63E-06,1.88E-07,4.69E-09,5.35E-07
Kidneys,3.14E-06,1.28E-09,1.21E-07,1.35E-09,3.60E-07,4.99E-07,2.86E-07,2.53E-07,3.30E-07,9.54E-08,8.94E-08,8.95E-08,9.78E-05,4.73E-07,8.27E-08,3.62E-07,1.33E-07,2.97E-09,1.94E-07,7.13E-08,7.13E-08,1.02E-06,7.95E-09,3.32E-08,1.59E-08,4.88E-08,5.28E-07
Liver,9.76E-07,3.49E-09,3.46E-07,3.68E-09,1.50E-06,1.48E-07,1.50E-07,3.38E-07,4.00E-07,2.18E-08,4.34E-07,4.35E-07,4.70E-07,1.81E-05,3.34E-07,4.60E-07,3.46E-08,9.30E-09,1.00E-07,5.51E-08,5.51E-08,1.27E-07,2.47E-09,1.55E-07,5.80E-08,1.61E-08,5.29E-07
Lungs,1.59E-07,1.45E-08,6.33E-07,1.20E-08,1.32E-07,1.05E-07,4.46E-08,4.54E-07,6.36E-08,5.83E-09,6.69E-07,6.94E-07,7.88E-08,3.28E-07,2.48E-05,2.21E-07,7.51E-09,4.58E-08,1.26E-07,7.62E-08,7.62E-08,1.91E-07,5.18E-10,6.31E-07,4.55E-07,3.40E-09,5.13E-07
Pancreas,8.30E-07,2.12E-09,3.85E-07,2.67E-09,4.34E-07,1.54E-06,8.53E-07,2.55E-06,5.41E-07,4.49E-08,5.53E-07,5.53E-07,3.68E-07,4.70E-07,2.28E-07,2.15E-04,5.01E-08,5.78E-09,1.66E-07,7.33E-08,7.33E-08,5.98E-07,3.90E-09,1.30E-07,3.91E-08,2.23E-08,5.55E-07
Prostate,7.25E-08,9.48E-11,9.83E-09,3.03E-10,5.40E-08,1.84E-07,2.42E-07,2.45E-08,1.57E-07,1.99E-06,1.04E-08,1.04E-08,1.33E-07,3.46E-08,7.51E-09,5.01E-08,1.71E-03,1.17E-09,9.93E-08,4.45E-08,4.45E-08,4.19E-08,1.16E-07,3.51E-09,2.26E-09,1.47E-06,5.43E-07
Salivary Glands,6.20E-09,6.23E-07,1.80E-07,3.22E-07,4.11E-09,2.86E-09,1.11E-09,1.25E-08,2.18E-09,1.58E-10,2.21E-08,2.21E-08,2.97E-09,9.30E-09,4.57E-08,5.78E-09,1.60E-10,3.43E-04,8.54E-08,8.67E-08,8.67E-08,7.87E-09,2.32E-10,5.12E-08,2.38E-07,1.48E-10,5.18E-07
Red Marrow,1.56E-07,1.20E-07,2.48E-07,7.11E-08,7.88E-08,1.02E-07,8.86E-08,1.40E-07,8.18E-08,2.29E-07,1.48E-07,1.48E-07,1.39E-07,1.27E-07,2.28E-07,1.03E-07,3.16E-07,9.28E-08,1.44E-05,2.37E-07,5.31E-06,1.52E-07,3.49E-08,2.42E-07,1.93E-07,1.62E-07,4.24E-07
Osteogenic Cells,2.32E-07,4.08E-07,2.91E-07,4.45E-07,1.01E-07,1.34E-07,1.22E-07,1.76E-07,1.14E-07,1.93E-07,1.43E-07,1.43E-07,2.04E-07,1.42E-07,2.10E-07,1.49E-07,2.73E-07,4.10E-07,7.12E-06,1.88E-05,2.39E-05,1.94E-07,6.75E-08,1.66E-07,2.15E-07,1.64E-07,6.67E-07
Spleen,1.69E-06,2.56E-09,2.39E-07,1.88E-09,9.64E-08,5.57E-07,1.61E-07,1.02E-06,9.87E-08,3.53E-08,1.55E-07,1.55E-07,9.81E-07,1.23E-07,1.87E-07,5.68E-07,4.11E-08,6.65E-09,1.02E-07,5.55E-08,5.55E-08,2.00E-04,2.41E-09,6.26E-08,4.20E-08,1.48E-08,5.29E-07
Testes,3.85E-09,1.03E-11,7.56E-10,8.45E-11,3.12E-09,9.33E-09,1.77E-08,1.78E-09,1.41E-08,1.41E-07,8.33E-10,8.33E-10,7.95E-09,2.47E-09,5.18E-10,3.90E-09,1.13E-07,2.32E-10,3.53E-08,4.66E-08,4.66E-08,2.41E-09,8.36E-04,1.05E-09,4.35E-10,3.16E-07,5.01E-07
Thymus,5.74E-08,1.36E-08,5.67E-07,1.35E-08,7.91E-08,4.56E-08,1.75E-08,1.74E-07,3.69E-08,2.33E-09,1.44E-06,1.53E-06,3.24E-08,1.59E-07,6.07E-07,1.17E-07,3.51E-09,5.34E-08,9.66E-08,5.53E-08,5.53E-08,6.61E-08,1.05E-09,1.16E-03,8.27E-07,2.10E-09,5.17E-07
Thyroid,3.48E-08,5.83E-08,1.75E-06,4.31E-08,2.93E-08,1.75E-08,6.19E-09,7.10E-08,6.18E-09,8.97E-10,1.81E-07,1.81E-07,1.59E-08,5.80E-08,4.81E-07,3.91E-08,7.66E-10,2.51E-07,8.54E-08,8.67E-08,8.67E-08,4.20E-08,4.35E-10,8.98E-07,1.44E-03,1.04E-09,5.18E-07
Urinary Bladder Wall,3.40E-08,4.18E-11,4.64E-09,5.31E-10,2.64E-08,9.79E-08,1.80E-07,1.11E-08,1.12E-07,1.04E-06,4.69E-09,4.69E-09,4.88E-08,1.61E-08,3.40E-09,2.23E-08,1.55E-06,1.48E-10,9.93E-08,4.45E-08,4.45E-08,1.48E-08,3.16E-07,2.10E-09,1.04E-09,7.46E-05,5.43E-07
Total Body,4.81E-07,4.11E-07,4.69E-07,4.17E-07,4.59E-07,4.89E-07,4.85E-07,4.61E-07,4.79E-07,5.09E-07,4.43E-07,4.43E-07,4.86E-07,4.50E-07,4.54E-07,4.70E-07,5.18E-07,4.44E-07,5.24E-07,5.11E-07,5.11E-07,4.74E-07,4.90E-07,4.57E-07,4.77E-07,5.01E-07,5.10E-07
