,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,2.05E-03,1.93E-09,3.00E-07,8.77E-10,7.05E-07,7.80E-07,3.19E-07,6.48E-07,3.41E-07,5.10E-08,1.98E-07,1.98E-07,3.25E-06,1.03E-06,1.64E-07,8.67E-07,7.25E-08,6.20E-09,2.77E-07,1.23E-07,1.23E-07,1.79E-06,3.85E-09,7.14E-08,3.48E-08,3.40E-08,5.43E-07
Brain,1.93E-09,2.24E-05,3.94E-08,6.46E-07,1.45E-09,1.42E-09,4.44E-10,4.26E-09,7.83E-10,9.82E-11,6.41E-09,6.41E-09,1.05E-09,3.03E-09,1.42E-08,2.12E-09,9.48E-11,6.33E-07,9.54E-08,1.39E-07,1.39E-07,2.56E-09,1.03E-11,1.36E-08,5.83E-08,4.18E-11,4.92E-07
Esophagus,3.05E-07,3.94E-08,7.19E-04,3.32E-08,1.79E-07,1.40E-07,7.21E-08,8.62E-07,8.70E-08,3.60E-09,1.02E-06,1.04E-06,1.31E-07,4.01E-07,7.10E-07,4.32E-07,9.83E-09,1.80E-07,8.54E-08,8.67E-08,8.67E-08,2.75E-07,8.45E-10,6.54E-07,1.95E-06,4.64E-09,5.18E-07
Eyes,8.77E-10,6.89E-07,3.32E-08,1.92E-03,3.20E-09,1.75E-09,7.21E-10,4.16E-09,4.42E-10,5.26E-10,8.62E-09,8.62E-09,1.37E-09,3.68E-09,1.20E-08,2.67E-09,3.03E-10,3.09E-07,9.54E-08,1.39E-07,1.39E-07,1.88E-09,8.45E-11,1.64E-08,4.31E-08,2.00E-10,4.92E-07
Gallbladder Wall,7.14E-07,1.45E-09,1.79E-07,3.20E-09,2.67E-04,3.43E-07,2.95E-07,2.30E-07,1.65E-06,3.33E-08,2.28E-07,2.28E-07,3.73E-07,1.60E-06,1.36E-07,4.28E-07,5.40E-08,4.65E-09,1.26E-07,4.95E-08,4.95E-08,9.99E-08,3.12E-09,8.73E-08,2.93E-08,2.64E-08,5.52E-07
LLI Wall,7.80E-07,1.42E-09,1.40E-07,1.75E-09,3.43E-07,1.95E-04,1.08E-06,6.64E-07,2.45E-07,3.16E-07,1.63E-07,1.63E-07,4.99E-07,1.49E-07,1.05E-07,1.59E-06,1.84E-07,2.86E-09,2.25E-07,8.32E-08,8.32E-08,5.57E-07,9.33E-09,4.56E-08,1.75E-08,9.79E-08,5.48E-07
Small Intestine,3.19E-07,4.44E-10,7.21E-08,1.11E-09,2.95E-07,1.08E-06,4.32E-05,2.81E-07,8.02E-07,4.91E-07,9.02E-08,9.02E-08,2.87E-07,1.50E-07,4.46E-08,8.78E-07,3.73E-07,1.70E-09,2.05E-07,6.40E-08,6.40E-08,1.62E-07,2.73E-08,2.69E-08,9.51E-09,2.77E-07,5.53E-07
Stomach Wall,6.00E-07,4.06E-09,8.77E-07,4.16E-09,2.21E-07,6.64E-07,1.82E-07,6.29E-05,6.01E-08,2.25E-08,7.68E-07,7.70E-07,2.42E-07,3.25E-07,4.63E-07,2.49E-06,2.45E-08,1.14E-08,9.22E-08,4.50E-08,4.50E-08,1.01E-06,1.78E-09,1.74E-07,7.10E-08,1.11E-08,5.34E-07
ULI Wall,3.41E-07,7.83E-10,8.71E-08,4.42E-10,1.65E-06,2.45E-07,5.21E-07,6.01E-08,1.01E-04,9.86E-08,1.26E-07,1.26E-07,3.30E-07,4.01E-07,6.36E-08,4.88E-07,1.57E-07,2.18E-09,1.74E-07,5.67E-08,5.67E-08,9.87E-08,1.41E-08,3.69E-08,6.19E-09,1.12E-07,5.48E-07
Rectum,5.10E-08,9.82E-11,1.00E-08,5.26E-10,3.33E-08,3.16E-07,4.91E-07,2.25E-08,9.86E-08,1.98E-04,8.81E-09,8.81E-09,9.54E-08,2.18E-08,5.83E-09,4.49E-08,1.99E-06,1.55E-10,2.25E-07,8.32E-08,8.32E-08,3.53E-08,1.41E-07,2.33E-09,1.42E-09,1.04E-06,5.48E-07
