,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,1.44E-03,4.95E-09,3.29E-07,2.65E-09,8.02E-07,9.22E-07,3.59E-07,7.30E-07,4.16E-07,6.88E-08,2.04E-07,2.04E-07,3.81E-06,1.18E-06,1.94E-07,9.33E-07,1.02E-07,1.01E-08,3.53E-07,1.62E-07,1.62E-07,1.95E-06,9.26E-09,9.31E-08,5.28E-08,5.10E-08,4.53E-07
Brain,4.95E-09,1.70E-05,5.85E-08,8.20E-07,4.18E-09,3.54E-09,1.56E-09,8.94E-09,2.02E-09,3.42E-10,1.26E-08,1.26E-08,3.10E-09,7.31E-09,2.54E-08,5.06E-09,3.48E-10,7.87E-07,1.29E-07,1.85E-07,1.85E-07,5.99E-09,1.54E-10,2.50E-08,8.91E-08,2.56E-10,3.94E-07
Esophagus,3.57E-07,5.85E-08,5.06E-04,4.86E-08,2.12E-07,1.61E-07,9.38E-08,9.89E-07,1.05E-07,7.26E-09,1.18E-06,1.22E-06,1.58E-07,4.00E-07,8.13E-07,5.09E-07,2.04E-08,2.20E-07,1.15E-07,1.17E-07,1.17E-07,3.09E-07,3.36E-09,7.61E-07,2.25E-06,1.18E-08,4.27E-07
Eyes,2.65E-09,7.97E-07,4.86E-08,1.36E-03,8.69E-09,5.80E-09,1.73E-09,9.05E-09,1.66E-09,1.09E-09,1.85E-08,1.85E-08,3.24E-09,7.96E-09,2.27E-08,7.27E-09,6.61E-10,4.27E-07,1.29E-07,1.85E-07,1.85E-07,4.72E-09,4.52E-10,2.22E-08,6.96E-08,2.08E-09,3.94E-07
Gallbladder Wall,7.89E-07,4.18E-09,2.12E-07,8.69E-09,1.96E-04,3.94E-07,3.43E-07,2.68E-07,1.89E-06,4.76E-08,2.59E-07,2.59E-07,3.97E-07,1.84E-06,1.90E-07,4.78E-07,7.00E-08,1.08E-08,1.61E-07,6.45E-08,6.45E-08,1.29E-07,8.52E-09,1.10E-07,4.11E-08,4.68E-08,4.68E-07
LLI Wall,9.22E-07,3.54E-09,1.61E-07,5.80E-09,3.94E-07,1.40E-04,1.20E-06,7.50E-07,2.96E-07,3.64E-07,1.92E-07,1.92E-07,5.52E-07,1.77E-07,1.24E-07,1.78E-06,1.92E-07,5.49E-09,2.76E-07,1.08E-07,1.08E-07,6.17E-07,1.56E-08,7.01E-08,2.58E-08,1.22E-07,4.62E-07
Small Intestine,3.59E-07,1.56E-09,9.39E-08,2.67E-09,3.43E-07,1.20E-06,3.16E-05,3.26E-07,9.06E-07,5.54E-07,1.13E-07,1.13E-07,3.20E-07,1.79E-07,5.90E-08,9.72E-07,4.20E-07,4.37E-09,2.44E-07,7.94E-08,7.94E-08,1.95E-07,4.13E-08,4.05E-08,1.59E-08,3.14E-07,4.68E-07
Stomach Wall,6.66E-07,8.81E-09,1.01E-06,9.05E-09,2.53E-07,7.50E-07,2.12E-07,4.69E-05,7.40E-08,3.44E-08,8.51E-07,8.54E-07,2.79E-07,3.69E-07,5.14E-07,2.85E-06,3.74E-08,1.78E-08,1.17E-07,5.88E-08,5.88E-08,1.13E-06,3.88E-09,2.05E-07,8.45E-08,1.92E-08,4.50E-07
ULI Wall,4.16E-07,2.02E-09,1.05E-07,1.66E-09,1.89E-06,2.96E-07,5.89E-07,7.40E-08,7.38E-05,1.19E-07,1.55E-07,1.55E-07,3.67E-07,4.53E-07,8.04E-08,5.53E-07,1.77E-07,5.61E-09,2.06E-07,7.06E-08,7.06E-08,1.23E-07,1.53E-08,5.11E-08,7.89E-09,1.37E-07,4.62E-07
Rectum,6.88E-08,3.42E-10,1.52E-08,1.09E-09,4.76E-08,3.64E-07,5.54E-07,3.44E-08,1.19E-07,1.43E-04,1.65E-08,1.65E-08,1.20E-07,3.30E-08,1.12E-08,6.01E-08,2.09E-06,4.52E-10,2.76E-07,1.08E-07,1.08E-07,5.35E-08,1.63E-07,6.66E-09,2.59E-09,1.15E-06,4.62E-07
Heart Wall,2.14E-07,1.43E-08,1.07E-06,1.85E-08,2.61E-07,1.92E-07,1.13E-07,9.03E-07,1.55E-07,1.65E-08,2.44E-05,6.51E-05,1.13E-07,4.92E-07,8.02E-07,6.10E-07,1.99E-08,3.40E-08,1.56E-07,8.50E-08,8.50E-08,1.91E-07,2.21E-09,1.93E-06,2.25E-07,1.08E-08,4.47E-07
Kidneys,3.74E-06,3.18E-09,1.44E-07,3.24E-09,4.01E-07,5.51E-07,3.20E-07,2.87E-07,3.67E-07,1.20E-07,1.07E-07,1.07E-07,7.14E-05,5.29E-07,1.02E-07,4.08E-07,1.65E-07,7.76E-09,2.50E-07,9.41E-08,9.41E-08,1.15E-06,1.49E-08,4.62E-08,2.48E-08,6.79E-08,4.41E-07
Liver,1.11E-06,7.31E-09,3.87E-07,7.96E-09,1.68E-06,1.76E-07,1.78E-07,3.81E-07,4.52E-07,3.30E-08,4.90E-07,4.92E-07,5.31E-07,1.38E-05,3.87E-07,5.16E-07,5.00E-08,1.65E-08,1.29E-07,7.33E-08,7.33E-08,1.55E-07,5.45E-09,1.83E-07,7.39E-08,2.64E-08,4.41E-07
Lungs,1.83E-07,2.67E-08,6.89E-07,2.26E-08,1.54E-07,1.24E-07,5.90E-08,4.98E-07,8.03E-08,1.12E-08,7.33E-07,7.71E-07,9.73E-08,3.69E-07,1.77E-05,2.44E-07,1.43E-08,6.40E-08,1.64E-07,1.03E-07,1.03E-07,2.20E-07,1.66E-09,6.98E-07,4.99E-07,7.29E-09,4.18E-07
Pancreas,8.97E-07,5.06E-09,4.34E-07,7.27E-09,4.67E-07,1.71E-06,9.33E-07,2.84E-06,6.13E-07,6.01E-08,6.14E-07,6.14E-07,4.05E-07,5.22E-07,2.53E-07,1.56E-04,6.86E-08,9.74E-09,2.14E-07,9.68E-08,9.68E-08,6.54E-07,8.77E-09,1.55E-07,5.20E-08,3.67E-08,4.68E-07
Prostate,1.02E-07,3.48E-10,2.04E-08,6.61E-10,7.00E-08,1.92E-07,2.72E-07,3.74E-08,1.76E-07,2.09E-06,1.94E-08,1.94E-08,1.65E-07,5.00E-08,1.43E-08,6.86E-08,1.22E-03,3.08E-09,1.20E-07,5.86E-08,5.86E-08,5.32E-08,1.47E-07,1.03E-08,2.11E-09,1.68E-06,4.59E-07
Salivary Glands,1.01E-08,7.68E-07,2.20E-07,4.58E-07,9.41E-09,5.49E-09,2.84E-09,2.05E-08,5.61E-09,4.52E-10,2.93E-08,2.93E-08,7.76E-09,1.65E-08,6.39E-08,9.74E-09,9.74E-10,2.44E-04,1.15E-07,1.17E-07,1.17E-07,1.39E-08,1.23E-09,8.08E-08,3.14E-07,3.61E-10,4.27E-07
Red Marrow,2.03E-07,1.56E-07,3.11E-07,1.03E-07,1.08E-07,1.36E-07,1.19E-07,1.80E-07,1.10E-07,2.79E-07,1.85E-07,1.85E-07,1.83E-07,1.63E-07,2.83E-07,1.37E-07,3.81E-07,1.28E-07,9.28E-06,2.94E-07,4.44E-06,1.98E-07,4.92E-08,3.00E-07,2.44E-07,1.97E-07,3.59E-07
Osteogenic Cells,1.53E-07,2.83E-07,1.96E-07,3.49E-07,7.07E-08,8.96E-08,8.38E-08,1.15E-07,7.85E-08,1.19E-07,9.15E-08,9.15E-08,1.36E-07,9.47E-08,1.37E-07,9.89E-08,1.69E-07,3.05E-07,5.24E-06,9.09E-06,1.13E-05,1.29E-07,4.65E-08,1.09E-07,1.44E-07,1.02E-07,4.09E-07
Spleen,1.91E-06,5.99E-09,2.79E-07,4.72E-09,1.17E-07,6.17E-07,1.94E-07,1.16E-06,1.23E-07,5.35E-08,1.84E-07,1.84E-07,1.12E-06,1.49E-07,2.24E-07,6.30E-07,5.93E-08,1.32E-08,1.35E-07,7.36E-08,7.36E-08,1.45E-04,5.87E-09,7.90E-08,5.87E-08,2.45E-08,4.41E-07
Testes,9.34E-09,8.56E-11,2.45E-09,4.52E-10,8.52E-09,1.56E-08,2.69E-08,3.88E-09,1.53E-08,1.63E-07,2.20E-09,2.20E-09,1.49E-08,5.45E-09,1.66E-09,8.76E-09,1.53E-07,1.23E-09,5.00E-08,6.47E-08,6.47E-08,5.87E-09,5.97E-04,1.94E-09,1.30E-09,3.93E-07,4.15E-07
Thymus,8.04E-08,2.50E-08,6.06E-07,2.32E-08,1.18E-07,7.01E-08,2.63E-08,2.29E-07,5.11E-08,6.66E-09,1.76E-06,1.91E-06,5.00E-08,1.67E-07,6.92E-07,1.32E-07,1.03E-08,7.29E-08,1.24E-07,7.36E-08,7.36E-08,7.18E-08,1.94E-09,8.15E-04,9.82E-07,4.45E-09,4.27E-07
Thyroid,5.28E-08,8.91E-08,2.14E-06,6.96E-08,4.11E-08,2.58E-08,1.03E-08,8.44E-08,7.89E-09,2.41E-09,2.21E-07,2.21E-07,2.48E-08,7.39E-08,5.63E-07,5.20E-08,3.44E-09,3.14E-07,1.15E-07,1.17E-07,1.17E-07,5.87E-08,1.30E-09,9.63E-07,1.02E-03,2.85E-09,4.27E-07
Urinary Bladder Wall,5.10E-08,2.56E-10,1.18E-08,1.13E-09,4.68E-08,1.22E-07,2.05E-07,1.92E-08,1.37E-07,1.15E-06,1.08E-08,1.08E-08,6.79E-08,2.64E-08,7.29E-09,3.67E-08,1.67E-06,3.61E-10,1.20E-07,5.86E-08,5.86E-08,2.45E-08,3.93E-07,4.45E-09,2.85E-09,5.54E-05,4.59E-07
Total Body,3.85E-07,3.06E-07,3.72E-07,3.14E-07,3.60E-07,3.94E-07,3.90E-07,3.62E-07,3.84E-07,4.17E-07,3.42E-07,3.42E-07,3.91E-07,3.50E-07,3.55E-07,3.71E-07,4.26E-07,3.45E-07,4.30E-07,4.15E-07,4.15E-07,3.78E-07,3.99E-07,3.59E-07,3.82E-07,4.09E-07,4.15E-07
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any bone activity on bone surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLINDA - Organ Level INternal Dose Assessment Code (Version 2.2; copyright Vanderbilt University - 2012),,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dose Conversion Factors [mSv/MBq-s] - Nuclide:Cu-64 (12.70 h) for ICRP 89 Adult Male,,,,,,,,,,,,,,,,,,,,,,,,,,,
