,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,1.55E-03,6.53E-09,8.44E-08,4.96E-07,4.29E-09,1.20E-06,3.47E-07,2.86E-07,1.44E-06,2.28E-07,4.55E-08,2.64E-07,2.64E-07,2.79E-06,1.30E-06,3.11E-07,9.64E-08,1.47E-06,1.26E-08,4.03E-07,2.13E-07,2.13E-07,8.26E-06,1.03E-07,4.88E-08,3.89E-08,7.18E-08,5.57E-07
Brain,6.53E-09,1.89E-05,2.22E-08,4.19E-08,1.03E-06,3.38E-09,2.48E-09,1.09E-09,7.85E-09,1.95E-09,3.96E-10,2.00E-08,2.00E-08,3.52E-09,8.63E-09,3.72E-08,5.60E-10,4.04E-09,8.66E-07,1.85E-07,2.08E-07,2.08E-07,7.35E-09,4.08E-08,1.16E-07,2.52E-10,3.34E-10,4.83E-07
Breasts,8.44E-08,2.22E-08,4.36E-05,1.98E-07,4.80E-08,6.76E-08,3.52E-08,3.70E-08,1.53E-07,4.68E-08,5.42E-09,3.91E-07,3.91E-07,4.17E-08,1.59E-07,3.11E-07,7.30E-09,1.04E-07,6.09E-08,9.77E-08,6.36E-08,6.36E-08,7.07E-08,4.26E-07,1.87E-07,3.70E-09,8.73E-09,4.66E-07
Esophagus,4.96E-07,4.19E-08,1.98E-07,5.77E-04,4.50E-08,2.22E-07,9.93E-08,6.28E-08,4.85E-07,7.71E-08,5.81E-09,1.69E-06,1.82E-06,2.03E-07,6.16E-07,9.28E-07,2.28E-08,5.99E-07,1.58E-07,1.37E-07,1.38E-07,1.38E-07,3.67E-07,1.43E-06,2.72E-06,1.14E-08,1.99E-08,4.99E-07
Eyes,4.29E-09,1.09E-06,4.80E-08,4.50E-08,1.36E-03,3.71E-09,2.88E-09,1.69E-09,9.68E-09,1.40E-09,1.22E-09,2.58E-08,2.58E-08,3.79E-09,1.01E-08,3.43E-08,8.08E-10,5.08E-09,7.72E-07,1.85E-07,2.08E-07,2.08E-07,6.21E-09,5.30E-08,1.14E-07,8.56E-10,1.23E-09,4.83E-07
Gallbladder Wall,1.27E-06,3.38E-09,6.76E-08,2.23E-07,3.71E-09,2.34E-04,9.40E-07,8.54E-07,2.97E-07,1.23E-06,9.68E-08,1.14E-07,1.14E-07,1.34E-06,1.13E-06,1.20E-07,1.94E-07,1.22E-06,6.64E-09,1.65E-07,7.87E-08,7.87E-08,2.29E-07,5.61E-08,3.06E-08,8.54E-08,1.47E-07,5.51E-07
LLI Wall,3.47E-07,2.48E-09,3.52E-08,9.93E-08,2.88E-09,9.40E-07,1.31E-04,8.45E-07,7.95E-07,2.63E-07,3.49E-07,9.40E-07,9.40E-07,4.85E-07,1.86E-07,8.01E-08,3.32E-07,4.60E-07,3.60E-09,3.58E-07,1.32E-07,1.32E-07,9.29E-07,3.96E-08,1.24E-08,2.35E-07,4.00E-07,5.64E-07
Small Intestine,2.86E-07,1.59E-09,3.70E-08,9.20E-08,2.47E-09,8.54E-07,8.45E-07,3.90E-05,4.96E-07,8.27E-07,3.46E-07,8.02E-08,8.02E-08,4.72E-07,2.39E-07,6.13E-08,6.51E-07,1.12E-06,4.69E-09,2.96E-07,1.01E-07,1.01E-07,3.47E-07,3.31E-08,1.39E-08,3.97E-07,8.73E-07,5.40E-07
Stomach Wall,1.47E-06,7.85E-09,1.53E-07,4.43E-07,9.68E-09,2.94E-07,7.95E-07,4.64E-07,5.11E-05,9.44E-08,3.57E-08,5.42E-07,5.42E-07,4.49E-07,3.58E-07,4.17E-07,5.67E-08,1.91E-06,1.73E-08,1.30E-07,7.62E-08,7.62E-08,2.24E-06,1.35E-07,6.62E-08,3.18E-08,4.54E-08,5.49E-07
ULI Wall,2.28E-07,2.28E-07,4.68E-08,7.71E-08,1.40E-09,1.23E-06,2.63E-07,8.27E-07,9.44E-08,6.91E-05,1.35E-07,6.65E-08,6.65E-08,4.25E-07,3.68E-07,5.30E-08,3.20E-07,4.08E-07,3.07E-09,2.28E-07,8.61E-08,8.61E-08,1.34E-07,4.01E-08,1.91E-08,1.22E-07,2.39E-07,5.64E-07
Rectum,4.55E-08,3.96E-10,5.42E-09,5.81E-09,1.22E-09,9.68E-08,3.49E-07,3.44E-07,3.57E-08,1.35E-07,1.36E-04,1.05E-08,1.05E-08,9.16E-08,3.42E-08,9.38E-09,1.94E-06,6.14E-08,5.30E-10,3.58E-07,1.32E-07,1.32E-07,4.21E-08,4.73E-09,1.43E-09,2.70E-06,5.04E-06,5.64E-07
Heart Wall,2.64E-07,2.17E-08,4.50E-07,1.79E-06,2.58E-08,1.24E-07,1.12E-07,8.06E-08,5.45E-07,6.65E-08,1.05E-08,3.30E-05,8.54E-05,1.24E-07,3.34E-07,1.07E-06,1.67E-08,3.17E-07,5.66E-08,1.56E-07,9.85E-08,9.85E-08,2.85E-07,1.75E-06,3.20E-07,1.04E-08,1.51E-08,5.50E-07
Kidneys,2.80E-06,3.52E-09,4.67E-08,2.03E-07,3.79E-09,1.32E-06,4.84E-07,4.37E-07,4.43E-07,4.17E-07,8.59E-08,1.11E-07,1.11E-07,7.96E-05,6.81E-07,1.22E-07,1.54E-07,7.82E-07,7.99E-09,2.90E-07,1.25E-07,1.25E-07,1.74E-06,4.92E-08,2.93E-08,6.42E-08,1.20E-07,5.38E-07
Liver,1.35E-06,9.08E-09,1.59E-07,6.16E-07,1.01E-08,1.12E-06,1.86E-07,2.19E-07,3.58E-07,3.61E-07,3.42E-08,3.29E-07,3.29E-07,6.90E-07,1.75E-05,4.46E-07,6.06E-08,1.02E-06,2.10E-08,1.44E-07,9.43E-08,9.43E-08,1.93E-07,1.90E-07,8.32E-08,3.04E-08,5.23E-08,5.41E-07
Lungs,2.58E-07,3.55E-08,3.12E-07,9.28E-07,3.43E-08,1.15E-07,8.01E-08,5.50E-08,3.99E-07,5.30E-08,9.38E-09,9.59E-07,1.02E-06,1.15E-07,4.32E-07,2.21E-05,1.51E-08,2.14E-07,9.20E-08,1.84E-07,1.29E-07,1.29E-07,2.47E-07,1.16E-06,5.83E-07,7.52E-09,1.30E-08,5.18E-07
Ovaries,9.64E-08,5.60E-10,7.30E-09,2.28E-08,8.08E-10,1.94E-07,3.32E-07,6.51E-07,5.67E-08,3.20E-07,1.94E-06,1.67E-08,1.67E-08,1.54E-07,6.06E-08,1.51E-08,1.84E-03,1.00E-07,8.60E-10,3.43E-07,1.13E-07,1.13E-07,7.40E-08,7.81E-09,2.89E-09,1.17E-06,4.23E-06,5.67E-07
Pancreas,1.37E-06,4.04E-09,1.04E-07,5.99E-07,5.08E-09,1.23E-06,4.60E-07,9.59E-07,1.80E-06,4.08E-07,6.13E-08,2.90E-07,2.90E-07,7.71E-07,1.01E-06,2.22E-07,1.00E-07,1.81E-04,1.03E-08,2.14E-07,1.13E-07,1.13E-07,1.04E-06,9.51E-08,4.21E-08,5.57E-08,8.93E-08,5.71E-07
Salivary Glands,1.26E-08,8.44E-07,6.09E-08,1.58E-07,7.72E-07,6.64E-09,3.60E-09,4.69E-09,1.73E-08,3.07E-09,5.30E-10,5.82E-08,5.82E-08,7.99E-09,2.10E-08,9.45E-08,8.60E-10,1.03E-08,2.96E-04,1.37E-07,1.38E-07,1.38E-07,1.54E-08,1.23E-07,4.41E-07,2.31E-09,3.66E-10,4.99E-07
Red Marrow,2.47E-07,1.10E-07,1.00E-07,4.99E-07,9.04E-08,2.38E-07,1.93E-07,1.96E-07,1.72E-07,1.53E-07,2.72E-07,2.48E-07,2.48E-07,2.44E-07,1.91E-07,3.23E-07,4.25E-07,2.67E-07,1.58E-07,1.19E-05,3.70E-07,5.76E-06,2.14E-07,3.41E-07,3.35E-07,2.11E-07,2.96E-07,4.36E-07
Osteogenic Cells,1.56E-07,3.45E-07,6.35E-08,2.59E-07,5.25E-07,1.54E-07,9.65E-08,1.14E-07,1.09E-07,8.07E-08,1.35E-07,1.35E-07,1.35E-07,1.42E-07,1.14E-07,1.69E-07,1.73E-07,1.84E-07,3.81E-07,5.33E-06,9.16E-06,1.14E-05,1.32E-07,1.68E-07,1.83E-07,9.67E-08,1.36E-07,4.22E-07
Spleen,7.93E-06,7.35E-09,7.85E-08,3.67E-07,6.21E-09,2.29E-07,9.29E-07,3.20E-07,2.04E-06,1.34E-07,4.21E-08,2.78E-07,2.78E-07,1.73E-06,2.02E-07,2.34E-07,7.40E-08,1.01E-06,1.54E-08,1.53E-07,9.36E-08,9.36E-08,1.67E-04,9.55E-08,4.68E-08,3.21E-08,5.24E-08,5.41E-07
Thymus,1.03E-07,4.08E-08,5.12E-07,1.43E-06,5.30E-08,6.56E-08,3.96E-08,3.31E-08,1.35E-07,4.00E-08,4.73E-09,1.65E-06,1.74E-06,2.93E-08,1.82E-07,1.30E-06,7.81E-09,1.03E-07,1.27E-07,1.33E-07,9.37E-08,9.37E-08,9.55E-08,1.02E-03,2.13E-06,3.34E-09,4.48E-09,5.28E-07
Thyroid,4.88E-08,1.16E-07,1.87E-07,2.72E-06,1.14E-07,3.06E-08,1.24E-08,9.51E-09,6.62E-08,1.91E-08,1.43E-09,3.00E-07,3.00E-07,3.16E-08,8.32E-08,6.16E-07,2.89E-09,4.21E-08,4.40E-07,1.37E-07,1.38E-07,1.38E-07,4.68E-08,1.96E-06,1.19E-03,1.45E-09,3.73E-09,4.99E-07
Urinary Bladder Wall,3.89E-08,2.52E-10,3.70E-09,1.14E-08,8.56E-10,8.54E-08,2.35E-07,3.51E-07,3.18E-08,1.22E-07,2.70E-06,1.04E-08,1.04E-08,6.10E-08,3.04E-08,7.52E-09,9.25E-07,5.57E-08,2.31E-09,1.55E-07,7.08E-08,7.08E-08,3.21E-08,3.34E-09,1.45E-09,6.90E-05,2.78E-06,5.05E-07
Uterus,7.18E-08,3.34E-10,8.73E-09,1.99E-08,1.23E-09,1.69E-07,4.00E-07,8.50E-07,4.54E-08,2.39E-07,4.95E-06,1.51E-08,1.51E-08,1.25E-07,5.23E-08,1.30E-08,3.99E-06,8.93E-08,3.66E-10,2.42E-07,8.59E-08,8.59E-08,5.23E-08,4.48E-09,3.73E-09,2.75E-06,2.70E-04,5.65E-07
Total Body,5.62E-07,4.74E-07,4.65E-07,4.47E-07,3.89E-07,5.41E-07,5.40E-07,5.36E-07,5.12E-07,5.34E-07,4.91E-07,5.06E-07,5.06E-07,5.42E-07,5.41E-07,5.18E-07,5.66E-07,5.74E-07,4.21E-07,5.25E-07,5.04E-07,5.04E-07,5.47E-07,5.21E-07,5.00E-07,5.20E-07,5.72E-07,5.04E-07
