,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Heart Wall,3.67E-08,5.40E-10,3.75E-07,5.90E-10,4.97E-08,3.77E-08,1.74E-08,2.88E-07,2.56E-08,6.18E-10,3.39E-05,1.00E-04,1.40E-08,1.42E-07,3.04E-07,1.64E-07,7.55E-10,2.79E-09,2.52E-08,1.31E-08,1.31E-08,3.29E-08,3.58E-11,7.61E-07,4.63E-08,2.86E-10,4.94E-07
Kidneys,1.76E-06,6.43E-11,2.27E-08,3.20E-11,9.79E-08,1.55E-07,6.52E-08,5.64E-08,8.53E-08,1.45E-08,1.27E-08,1.28E-08,1.08E-04,1.61E-07,1.48E-08,8.66E-08,2.10E-08,1.43E-10,4.21E-08,1.50E-08,1.50E-08,4.12E-07,5.16E-10,3.92E-09,1.71E-09,5.01E-09,4.90E-07
Liver,4.18E-07,1.92E-10,1.05E-07,2.74E-10,6.10E-07,3.58E-08,3.26E-08,9.55E-08,1.16E-07,1.86E-09,1.40E-07,1.42E-07,1.60E-07,1.91E-05,1.27E-07,1.41E-07,3.37E-09,9.34E-10,1.98E-08,1.13E-08,1.13E-08,2.20E-08,9.50E-11,3.56E-08,1.04E-08,1.27E-09,4.92E-07
Lungs,3.76E-08,1.50E-09,2.59E-07,1.06E-09,3.14E-08,2.73E-08,7.79E-09,1.84E-07,1.22E-08,3.89E-10,2.84E-07,3.13E-07,1.51E-08,1.30E-07,2.76E-05,6.04E-08,4.94E-10,7.78E-09,3.29E-08,1.96E-08,1.96E-08,5.68E-08,1.69E-11,2.55E-07,1.78E-07,1.59E-10,4.94E-07
Pancreas,2.65E-07,1.03E-10,1.11E-07,1.95E-10,1.11E-07,6.41E-07,3.28E-07,1.12E-06,1.65E-07,5.37E-09,1.64E-07,1.64E-07,9.24E-08,1.43E-07,6.03E-08,2.38E-04,5.18E-09,4.28E-10,3.15E-08,1.39E-08,1.39E-08,1.70E-07,2.55E-10,2.39E-08,5.28E-09,1.46E-09,4.99E-07
Prostate,7.61E-09,1.86E-12,5.06E-10,2.24E-11,6.27E-09,3.66E-08,6.48E-08,2.09E-09,2.86E-08,7.89E-07,5.72E-10,5.72E-10,2.10E-08,3.36E-09,4.94E-10,5.18E-09,1.93E-03,1.07E-10,1.69E-08,6.35E-09,6.35E-09,4.87E-09,2.03E-08,8.80E-11,1.62E-10,5.58E-07,4.94E-07
Salivary Glands,3.89E-10,1.43E-07,5.06E-08,4.77E-08,3.60E-10,2.10E-10,6.34E-11,1.22E-09,6.35E-11,3.73E-12,2.62E-09,2.62E-09,1.43E-10,9.29E-10,7.77E-09,4.28E-10,2.68E-12,3.84E-04,1.72E-08,1.93E-08,1.93E-08,6.40E-10,4.26E-12,8.21E-09,5.30E-08,1.95E-12,4.91E-07
Red Marrow,2.62E-08,3.21E-08,5.48E-08,1.31E-08,1.17E-08,1.68E-08,1.22E-08,2.69E-08,1.13E-08,5.36E-08,3.33E-08,3.33E-08,2.40E-08,2.63E-08,6.35E-08,1.52E-08,7.25E-08,1.94E-08,1.71E-05,7.19E-08,5.85E-06,3.19E-08,4.60E-09,7.37E-08,4.43E-08,3.49E-08,3.88E-07
Osteogenic Cells,1.10E-07,2.71E-07,1.73E-07,3.02E-07,3.36E-08,5.15E-08,4.35E-08,8.37E-08,3.82E-08,1.01E-07,6.92E-08,6.92E-08,9.81E-08,6.71E-08,1.41E-07,5.55E-08,1.50E-07,2.45E-07,8.50E-06,3.43E-05,3.88E-05,1.05E-07,2.54E-08,1.06E-07,1.20E-07,8.69E-08,8.18E-07
Spleen,7.11E-07,1.13E-10,5.99E-08,1.01E-10,1.32E-08,1.73E-07,3.45E-08,3.84E-07,1.61E-08,4.22E-09,3.03E-08,3.03E-08,4.08E-07,2.24E-08,5.29E-08,1.63E-07,4.17E-09,4.97E-10,2.07E-08,1.16E-08,1.16E-08,2.22E-04,8.94E-11,9.71E-09,6.50E-09,1.03E-09,4.93E-07
Testes,1.34E-10,1.92E-13,1.50E-11,1.37E-12,2.86E-10,7.06E-10,2.01E-09,6.13E-11,2.71E-09,2.23E-08,3.20E-11,3.20E-11,5.16E-10,9.50E-11,1.69E-11,2.55E-10,1.75E-08,4.26E-12,4.42E-09,6.34E-09,6.34E-09,8.94E-11,9.37E-04,6.51E-11,4.30E-12,7.07E-08,4.81E-07
Thymus,1.02E-08,1.06E-09,1.88E-07,1.76E-09,1.53E-08,6.79E-09,2.04E-09,3.40E-08,4.91E-09,1.38E-10,6.17E-07,7.20E-07,3.65E-09,3.80E-08,2.30E-07,2.30E-08,8.80E-11,6.04E-09,2.22E-08,1.22E-08,1.22E-08,1.06E-08,6.51E-11,1.30E-03,2.65E-07,2.10E-11,4.89E-07
Thyroid,4.26E-09,6.75E-09,7.90E-07,3.28E-09,4.03E-09,2.17E-09,5.68E-10,1.36E-08,1.29E-09,5.98E-11,4.36E-08,4.36E-08,1.71E-09,1.04E-08,1.76E-07,5.26E-09,4.55E-11,5.92E-08,1.72E-08,1.93E-08,1.93E-08,6.50E-09,4.30E-12,2.88E-07,1.62E-03,7.80E-11,4.91E-07
Urinary Bladder Wall,2.36E-09,1.18E-12,1.86E-10,4.69E-11,2.42E-09,1.69E-08,4.93E-08,8.03E-10,1.81E-08,3.71E-07,2.86E-10,2.86E-10,5.01E-09,1.27E-09,1.59E-10,1.46E-09,5.92E-07,1.95E-12,1.69E-08,6.35E-09,6.35E-09,1.03E-09,7.08E-08,2.10E-11,7.80E-11,8.06E-05,4.94E-07
Total Body,4.73E-07,4.49E-07,4.72E-07,4.53E-07,4.65E-07,4.77E-07,4.75E-07,4.66E-07,4.74E-07,4.83E-07,4.60E-07,4.60E-07,4.75E-07,4.62E-07,4.66E-07,4.69E-07,4.85E-07,4.64E-07,4.97E-07,4.95E-07,4.95E-07,4.72E-07,4.78E-07,4.68E-07,4.78E-07,4.78E-07,4.91E-07
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any bone activity on bone surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,
