,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,2.32E-03,6.91E-11,7.14E-08,1.57E-11,2.34E-07,2.81E-07,8.89E-08,1.92E-07,8.87E-08,6.58E-09,3.70E-08,3.70E-08,1.88E-06,4.45E-07,4.00E-08,2.81E-07,7.61E-09,3.89E-10,6.53E-08,2.94E-08,2.94E-08,7.65E-07,1.34E-10,1.01E-08,4.26E-09,2.36E-09,4.96E-07
Brain,6.91E-11,2.37E-05,5.29E-09,1.68E-07,7.34E-11,5.88E-11,1.79E-11,3.01E-10,3.69E-11,1.64E-12,4.09E-10,4.09E-10,6.36E-11,1.59E-10,1.29E-09,1.03E-10,1.86E-12,1.47E-07,2.74E-08,4.14E-08,4.14E-08,1.13E-10,4.24E-13,1.06E-09,6.76E-09,1.18E-12,4.88E-07
Esophagus,7.65E-08,5.28E-09,8.11E-04,3.41E-09,4.06E-08,3.08E-08,1.42E-08,3.21E-07,1.49E-08,1.59E-10,3.93E-07,4.19E-07,2.36E-08,1.12E-07,2.65E-07,1.23E-07,5.06E-10,5.05E-08,1.72E-08,1.93E-08,1.93E-08,6.93E-08,1.71E-11,2.06E-07,8.80E-07,1.86E-10,4.91E-07
Eyes,1.57E-11,1.69E-07,3.41E-09,2.17E-03,2.54E-10,3.51E-11,4.22E-11,3.98E-10,6.58E-12,4.54E-11,5.90E-10,5.90E-10,5.15E-11,2.74E-10,1.06E-09,1.95E-10,2.24E-11,4.92E-08,2.74E-08,4.14E-08,4.14E-08,1.01E-10,1.37E-12,5.64E-10,3.28E-09,4.64E-12,4.88E-07
Gallbladder Wall,2.40E-07,7.34E-11,4.06E-08,2.54E-10,2.92E-04,1.34E-07,7.75E-08,4.74E-08,6.98E-07,3.82E-09,5.22E-08,5.24E-08,1.02E-07,6.80E-07,3.06E-08,1.12E-07,6.27E-09,4.56E-10,2.09E-08,8.03E-09,8.03E-09,1.55E-08,2.86E-10,1.47E-08,4.03E-09,2.42E-09,4.98E-07
LLI Wall,2.81E-07,5.88E-11,3.09E-08,3.51E-11,1.34E-07,2.20E-04,4.27E-07,2.31E-07,7.57E-08,1.20E-07,3.77E-08,3.78E-08,1.55E-07,3.67E-08,2.73E-08,6.98E-07,3.67E-08,2.10E-10,6.20E-08,1.95E-08,1.95E-08,1.73E-07,7.06E-10,6.79E-09,2.17E-09,1.69E-08,4.98E-07
Small Intestine,8.91E-08,1.79E-11,1.42E-08,6.49E-11,7.75E-08,4.27E-07,4.76E-05,7.57E-08,2.87E-07,1.70E-07,1.74E-08,1.74E-08,6.53E-08,3.27E-08,7.81E-09,3.57E-07,9.98E-08,9.77E-11,4.56E-08,1.31E-08,1.31E-08,3.46E-08,3.09E-09,3.16E-09,8.75E-10,7.56E-08,4.99E-07
Stomach Wall,1.80E-07,2.60E-10,3.38E-07,3.98E-10,4.68E-08,2.31E-07,4.92E-08,6.81E-05,1.38E-08,1.94E-09,2.74E-07,2.76E-07,5.26E-08,9.26E-08,1.83E-07,1.17E-06,2.09E-09,1.12E-09,1.63E-08,8.25E-09,8.25E-09,3.78E-07,6.30E-11,3.75E-08,1.36E-08,8.03E-10,4.93E-07
ULI Wall,8.88E-08,3.69E-11,1.50E-08,6.58E-12,6.98E-07,7.57E-08,1.86E-07,1.38E-08,1.11E-04,1.43E-08,2.56E-08,2.56E-08,8.55E-08,1.17E-07,1.22E-08,1.50E-07,2.87E-08,6.35E-11,3.86E-08,1.14E-08,1.14E-08,1.62E-08,2.71E-09,4.92E-09,1.29E-09,1.81E-08,4.96E-07
Rectum,6.58E-09,1.64E-12,6.28E-10,4.54E-11,3.82E-09,1.20E-07,1.70E-07,1.94E-09,1.43E-08,2.21E-04,6.18E-10,6.18E-10,1.45E-08,1.86E-09,3.90E-10,5.37E-09,7.91E-07,2.76E-12,6.20E-08,1.95E-08,1.95E-08,4.22E-09,2.23E-08,1.38E-10,1.27E-10,3.71E-07,4.98E-07
