,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,7.75E-04,6.24E-09,1.23E-07,9.61E-07,5.58E-09,2.48E-06,6.70E-07,5.76E-07,2.79E-06,3.93E-07,7.07E-08,5.03E-07,5.03E-07,4.98E-06,2.44E-06,4.92E-07,1.49E-07,2.83E-06,1.76E-08,6.99E-07,3.46E-07,3.46E-07,1.23E-05,1.92E-07,7.56E-08,5.34E-08,1.03E-07,5.60E-07
Brain,6.24E-09,1.35E-05,2.68E-08,5.92E-08,1.81E-06,2.77E-09,2.35E-09,9.51E-10,7.91E-09,1.54E-09,2.42E-10,2.36E-08,2.36E-08,3.20E-09,8.58E-09,4.75E-08,3.30E-10,4.11E-09,1.52E-06,3.13E-07,3.60E-07,3.60E-07,7.25E-09,5.25E-08,1.68E-07,1.33E-10,2.43E-10,4.27E-07
Breasts,1.23E-07,2.68E-08,2.49E-05,3.34E-07,6.56E-08,9.79E-08,5.08E-08,4.92E-08,2.53E-07,6.32E-08,5.67E-09,6.95E-07,6.95E-07,5.80E-08,2.63E-07,5.53E-07,7.38E-09,1.75E-07,9.05E-08,1.53E-07,9.93E-08,9.93E-08,1.05E-07,7.27E-07,2.91E-07,3.44E-09,1.01E-08,3.71E-07
Esophagus,9.61E-07,5.92E-08,3.34E-07,2.89E-04,5.76E-08,3.79E-07,1.68E-07,1.08E-07,9.49E-07,1.17E-07,6.85E-09,3.19E-06,3.24E-06,3.60E-07,1.18E-06,1.84E-06,3.07E-08,1.16E-06,2.59E-07,2.24E-07,2.18E-07,2.18E-07,6.82E-07,2.66E-06,5.20E-06,1.51E-08,2.72E-08,4.39E-07
Eyes,5.58E-09,1.94E-06,6.56E-08,5.76E-08,6.88E-04,2.64E-09,2.27E-09,1.51E-09,9.18E-09,9.03E-10,1.33E-09,3.12E-08,3.12E-08,3.49E-09,1.05E-08,4.53E-08,7.98E-10,5.71E-09,1.25E-06,3.13E-07,3.60E-07,3.60E-07,6.98E-09,6.65E-08,1.72E-07,8.04E-10,1.73E-09,4.27E-07
Gallbladder Wall,2.52E-06,2.77E-09,9.79E-08,3.79E-07,2.64E-09,1.43E-04,1.77E-06,1.65E-06,5.55E-07,2.39E-06,1.57E-07,2.02E-07,2.02E-07,2.68E-06,2.21E-06,2.01E-07,3.28E-07,2.48E-06,7.30E-09,2.54E-07,1.32E-07,1.32E-07,4.14E-07,1.02E-07,4.20E-08,1.44E-07,2.79E-07,5.67E-07
LLI Wall,6.71E-07,2.35E-09,5.08E-08,1.68E-07,2.27E-09,1.77E-06,6.67E-05,1.62E-06,1.49E-06,4.72E-07,6.40E-07,1.77E-06,1.77E-06,9.16E-07,3.37E-07,1.35E-07,6.36E-07,9.04E-07,3.09E-09,6.35E-07,2.22E-07,2.22E-07,1.78E-06,5.43E-08,1.78E-08,4.46E-07,7.79E-07,5.72E-07
Small Intestine,5.76E-07,1.39E-09,4.92E-08,1.59E-07,2.21E-09,1.65E-06,1.62E-06,2.20E-05,9.58E-07,1.58E-06,6.58E-07,1.35E-07,1.35E-07,9.04E-07,4.28E-07,9.87E-08,1.27E-06,2.10E-06,4.86E-09,5.21E-07,1.73E-07,1.73E-07,6.56E-07,4.67E-08,1.89E-08,7.49E-07,1.70E-06,5.38E-07
Stomach Wall,2.80E-06,7.91E-09,2.53E-07,8.71E-07,9.18E-09,5.58E-07,1.49E-06,8.97E-07,3.39E-05,1.60E-07,4.96E-08,1.08E-06,1.08E-06,8.47E-07,6.83E-07,7.83E-07,8.47E-08,3.69E-06,2.33E-08,2.15E-07,1.30E-07,1.30E-07,4.12E-06,2.33E-07,1.06E-07,4.09E-08,6.97E-08,5.38E-07
ULI Wall,3.93E-07,3.93E-07,6.32E-08,1.17E-07,9.03E-10,2.39E-06,4.72E-07,1.58E-06,1.60E-07,4.03E-05,2.20E-07,1.02E-07,1.02E-07,7.99E-07,6.69E-07,7.98E-08,5.80E-07,7.72E-07,3.38E-09,4.32E-07,1.46E-07,1.46E-07,2.24E-07,4.76E-08,2.19E-08,2.19E-07,4.24E-07,5.71E-07
