,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Rectum,7.07E-08,2.42E-10,5.67E-09,6.85E-09,1.33E-09,1.57E-07,6.40E-07,6.44E-07,4.96E-08,2.20E-07,7.59E-05,1.27E-08,1.27E-08,1.42E-07,4.82E-08,1.03E-08,3.88E-06,8.98E-08,4.11E-10,6.35E-07,2.22E-07,2.22E-07,6.22E-08,4.24E-09,1.50E-09,5.27E-06,8.91E-06,5.72E-07
Heart Wall,5.03E-07,2.66E-08,7.94E-07,3.23E-06,3.12E-08,2.12E-07,1.94E-07,1.27E-07,1.08E-06,1.02E-07,1.27E-08,2.33E-05,4.56E-05,2.10E-07,6.39E-07,1.99E-06,2.19E-08,5.96E-07,8.22E-08,2.68E-07,1.69E-07,1.69E-07,5.42E-07,3.15E-06,5.97E-07,1.05E-08,1.82E-08,5.44E-07
Kidneys,4.83E-06,3.20E-09,6.35E-08,3.60E-07,3.49E-09,2.61E-06,9.16E-07,8.28E-07,8.43E-07,7.96E-07,1.41E-07,2.00E-07,2.00E-07,4.69E-05,1.28E-06,2.04E-07,2.63E-07,1.54E-06,8.82E-09,5.00E-07,2.09E-07,2.09E-07,3.22E-06,7.79E-08,3.96E-08,9.94E-08,2.02E-07,5.18E-07
Liver,2.47E-06,9.22E-09,2.63E-07,1.18E-06,1.05E-08,2.20E-06,3.37E-07,3.99E-07,6.79E-07,6.67E-07,4.82E-08,6.31E-07,6.31E-07,1.29E-06,1.26E-05,8.06E-07,9.21E-08,1.95E-06,2.64E-08,2.44E-07,1.55E-07,1.55E-07,3.44E-07,3.64E-07,1.42E-07,4.16E-08,7.63E-08,5.26E-07
Lungs,4.98E-07,4.70E-08,5.53E-07,1.84E-06,4.53E-08,2.00E-07,1.35E-07,9.02E-08,7.80E-07,7.98E-08,1.03E-08,1.93E-06,1.95E-06,2.02E-07,7.99E-07,1.23E-05,1.90E-08,4.08E-07,1.48E-07,3.24E-07,2.15E-07,2.15E-07,4.62E-07,2.05E-06,1.14E-06,8.34E-09,1.53E-08,4.99E-07
Ovaries,1.49E-07,3.30E-10,7.38E-09,3.07E-08,7.98E-10,3.28E-07,6.36E-07,1.27E-06,8.47E-08,5.80E-07,3.88E-06,2.19E-08,2.19E-08,2.63E-07,9.21E-08,1.90E-08,9.22E-04,1.66E-07,4.73E-10,6.25E-07,1.96E-07,1.96E-07,1.07E-07,1.02E-08,2.46E-09,2.23E-06,8.14E-06,5.80E-07
Pancreas,2.70E-06,4.11E-09,1.75E-07,1.16E-06,5.71E-09,2.42E-06,9.04E-07,1.90E-06,3.60E-06,7.72E-07,8.98E-08,5.64E-07,5.64E-07,1.50E-06,1.91E-06,4.06E-07,1.66E-07,1.04E-04,1.33E-08,3.70E-07,1.95E-07,1.95E-07,2.00E-06,1.78E-07,6.45E-08,7.43E-08,1.44E-07,5.88E-07
Salivary Glands,1.76E-08,1.48E-06,9.05E-08,2.59E-07,1.25E-06,7.30E-09,3.09E-09,4.86E-09,2.33E-08,3.48E-09,4.11E-10,8.19E-08,8.19E-08,8.82E-09,2.64E-08,1.47E-07,4.73E-10,1.33E-08,1.55E-04,2.24E-07,2.18E-07,2.18E-07,1.65E-08,1.96E-07,7.62E-07,3.19E-09,2.58E-10,4.39E-07
Red Marrow,4.18E-07,1.77E-07,1.54E-07,8.58E-07,1.36E-07,3.95E-07,3.25E-07,3.26E-07,2.90E-07,2.51E-07,4.79E-07,4.32E-07,4.32E-07,4.04E-07,3.20E-07,5.61E-07,7.60E-07,4.42E-07,2.61E-07,6.90E-06,6.35E-07,2.86E-06,3.54E-07,5.96E-07,5.87E-07,3.69E-07,5.22E-07,4.39E-07
Osteogenic Cells,5.29E-07,1.10E-06,1.82E-07,8.70E-07,1.54E-06,5.04E-07,3.15E-07,3.69E-07,3.60E-07,2.55E-07,4.74E-07,4.80E-07,4.80E-07,4.67E-07,3.82E-07,5.94E-07,6.20E-07,5.97E-07,1.14E-06,3.55E-06,1.06E-05,1.15E-05,4.40E-07,5.89E-07,6.15E-07,3.25E-07,4.80E-07,7.29E-07
Spleen,1.21E-05,7.25E-09,1.17E-07,6.82E-07,6.98E-09,4.14E-07,1.77E-06,6.02E-07,3.98E-06,2.24E-07,6.22E-08,5.33E-07,5.33E-07,3.12E-06,3.37E-07,4.41E-07,1.07E-07,2.01E-06,1.65E-08,2.60E-07,1.59E-07,1.59E-07,9.61E-05,1.57E-07,6.71E-08,4.16E-08,8.37E-08,5.25E-07
Thymus,1.92E-07,5.24E-08,8.67E-07,2.66E-06,6.65E-08,1.03E-07,5.43E-08,4.67E-08,2.33E-07,4.76E-08,4.62E-09,3.25E-06,3.29E-06,3.96E-08,3.87E-07,2.25E-06,1.02E-08,1.89E-07,2.00E-07,2.22E-07,1.49E-07,1.49E-07,1.57E-07,5.19E-04,4.03E-06,3.49E-09,4.13E-09,4.98E-07
Thyroid,7.56E-08,1.68E-07,2.91E-07,5.20E-06,1.72E-07,4.20E-08,1.78E-08,1.29E-08,1.06E-07,2.19E-08,1.50E-09,6.13E-07,6.13E-07,4.01E-08,1.42E-07,1.13E-06,2.46E-09,6.45E-08,7.62E-07,2.24E-07,2.18E-07,2.18E-07,6.71E-08,3.65E-06,6.02E-04,1.29E-09,5.75E-09,4.39E-07
Urinary Bladder Wall,5.34E-08,1.58E-10,3.44E-09,1.51E-08,8.04E-10,1.44E-07,4.46E-07,6.27E-07,4.09E-08,2.19E-07,5.27E-06,1.05E-08,1.05E-08,9.07E-08,4.16E-08,8.34E-09,1.83E-06,7.43E-08,3.19E-09,2.52E-07,1.25E-07,1.25E-07,4.16E-08,3.49E-09,1.29E-09,3.99E-05,5.43E-06,5.31E-07
Uterus,1.03E-07,2.43E-10,1.01E-08,2.72E-08,1.73E-09,2.79E-07,7.79E-07,1.69E-06,6.97E-08,4.23E-07,9.55E-06,1.82E-08,1.82E-08,2.08E-07,7.63E-08,1.53E-08,7.83E-06,1.44E-07,2.58E-10,4.49E-07,1.49E-07,1.49E-07,8.37E-08,4.13E-09,5.75E-09,5.43E-06,1.52E-04,5.72E-07
Total Body,5.79E-07,4.22E-07,3.75E-07,3.49E-07,2.32E-07,5.33E-07,5.31E-07,5.26E-07,4.75E-07,5.19E-07,4.33E-07,4.70E-07,4.70E-07,5.35E-07,5.36E-07,5.00E-07,5.91E-07,6.06E-07,2.96E-07,5.09E-07,4.73E-07,4.73E-07,5.44E-07,4.94E-07,4.54E-07,4.90E-07,5.96E-07,4.65E-07
