,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Heart Wall,3.95E-07,1.67E-08,2.01E-06,1.98E-08,4.76E-07,3.51E-07,1.94E-07,1.76E-06,2.72E-07,1.97E-08,1.78E-05,3.51E-05,1.90E-07,9.40E-07,1.50E-06,1.19E-06,2.37E-08,4.94E-08,2.63E-07,1.40E-07,1.40E-07,3.43E-07,1.89E-09,3.38E-06,4.07E-07,1.09E-08,4.37E-07
Kidneys,6.28E-06,3.03E-09,2.59E-07,3.15E-09,7.77E-07,1.08E-06,6.13E-07,5.41E-07,7.09E-07,2.04E-07,1.89E-07,1.89E-07,4.25E-05,1.02E-06,1.77E-07,7.77E-07,2.85E-07,7.13E-09,4.20E-07,1.55E-07,1.55E-07,2.17E-06,1.78E-08,7.14E-08,3.48E-08,1.05E-07,4.23E-07
Liver,2.05E-06,7.95E-09,7.49E-07,8.49E-09,3.28E-06,3.18E-07,3.22E-07,7.29E-07,8.66E-07,4.72E-08,9.41E-07,9.42E-07,1.01E-06,1.01E-05,7.08E-07,9.94E-07,7.44E-08,2.07E-08,2.17E-07,1.20E-07,1.20E-07,2.71E-07,5.67E-09,3.35E-07,1.25E-07,3.52E-08,4.25E-07
Lungs,3.41E-07,3.26E-08,1.38E-06,2.70E-08,2.85E-07,2.27E-07,9.65E-08,9.90E-07,1.37E-07,1.31E-08,1.46E-06,1.47E-06,1.69E-07,6.95E-07,1.00E-05,4.76E-07,1.68E-08,9.97E-08,2.75E-07,1.68E-07,1.68E-07,4.12E-07,1.30E-09,1.38E-06,9.92E-07,7.76E-09,3.92E-07
Pancreas,1.80E-06,4.96E-09,8.34E-07,6.52E-09,9.31E-07,3.35E-06,1.85E-06,5.57E-06,1.17E-06,9.61E-08,1.20E-06,1.20E-06,7.90E-07,1.02E-06,4.91E-07,9.14E-05,1.07E-07,1.27E-08,3.59E-07,1.59E-07,1.59E-07,1.29E-06,9.06E-09,2.77E-07,8.39E-08,4.87E-08,4.80E-07
Prostate,1.56E-07,2.47E-10,2.24E-08,6.97E-10,1.15E-07,3.88E-07,5.21E-07,5.31E-08,3.33E-07,4.32E-06,2.31E-08,2.31E-08,2.85E-07,7.44E-08,1.68E-08,1.07E-07,6.38E-04,2.81E-09,2.12E-07,9.55E-08,9.55E-08,8.90E-08,2.50E-07,8.61E-09,4.56E-09,3.24E-06,4.54E-07
Salivary Glands,1.35E-08,1.35E-06,3.92E-07,7.00E-07,9.63E-09,6.43E-09,2.65E-09,2.76E-08,5.17E-09,3.83E-10,4.71E-08,4.71E-08,7.13E-09,2.07E-08,9.97E-08,1.27E-08,5.11E-10,1.29E-04,1.86E-07,1.90E-07,1.90E-07,1.75E-08,7.00E-10,1.13E-07,5.20E-07,3.44E-10,4.02E-07
Red Marrow,3.36E-07,2.62E-07,5.36E-07,1.55E-07,1.70E-07,2.20E-07,1.90E-07,3.02E-07,1.76E-07,4.95E-07,3.20E-07,3.20E-07,2.99E-07,2.75E-07,4.94E-07,2.22E-07,6.81E-07,2.02E-07,5.50E-06,5.18E-07,2.23E-06,3.28E-07,7.54E-08,5.27E-07,4.18E-07,3.48E-07,3.66E-07
Osteogenic Cells,4.98E-07,9.03E-07,6.36E-07,9.91E-07,2.13E-07,2.83E-07,2.57E-07,3.78E-07,2.39E-07,4.15E-07,3.07E-07,3.07E-07,4.38E-07,3.05E-07,4.64E-07,3.15E-07,5.90E-07,9.00E-07,3.31E-06,1.04E-05,1.13E-05,4.21E-07,1.43E-07,3.64E-07,4.69E-07,3.53E-07,6.42E-07
Spleen,3.69E-06,5.96E-09,5.17E-07,4.46E-09,2.04E-07,1.21E-06,3.48E-07,2.23E-06,2.11E-07,7.71E-08,3.31E-07,3.32E-07,2.10E-06,2.63E-07,4.05E-07,1.23E-06,8.86E-08,1.51E-08,2.21E-07,1.21E-07,1.21E-07,8.45E-05,5.65E-09,1.34E-07,9.12E-08,3.23E-08,4.25E-07
Testes,9.04E-09,3.73E-11,1.91E-09,2.55E-10,7.64E-09,2.05E-08,3.86E-08,4.07E-09,2.98E-08,2.99E-07,1.99E-09,1.99E-09,1.78E-08,5.67E-09,1.30E-09,9.06E-09,2.44E-07,7.00E-10,7.63E-08,1.01E-07,1.01E-07,5.65E-09,3.17E-04,2.34E-09,1.08E-09,6.86E-07,3.65E-07
Thymus,1.26E-07,3.03E-08,1.23E-06,3.01E-08,1.75E-07,1.00E-07,3.81E-08,3.78E-07,7.96E-08,5.75E-09,3.19E-06,3.24E-06,7.08E-08,3.39E-07,1.33E-06,2.49E-07,8.61E-09,1.14E-07,2.10E-07,1.20E-07,1.20E-07,1.39E-07,2.34E-09,4.19E-04,1.80E-06,4.74E-09,3.99E-07
Thyroid,7.60E-08,1.27E-07,3.86E-06,9.39E-08,6.35E-08,3.80E-08,1.36E-08,1.52E-07,1.34E-08,2.17E-09,3.94E-07,3.94E-07,3.48E-08,1.25E-07,1.05E-06,8.39E-08,2.18E-09,5.46E-07,1.86E-07,1.90E-07,1.90E-07,9.12E-08,1.08E-09,1.94E-06,5.16E-04,2.55E-09,4.02E-07
Urinary Bladder Wall,7.31E-08,1.33E-10,1.10E-08,1.23E-09,5.89E-08,2.10E-07,3.88E-07,2.45E-08,2.39E-07,2.27E-06,1.09E-08,1.09E-08,1.05E-07,3.52E-08,7.76E-09,4.87E-08,3.37E-06,3.44E-10,2.12E-07,9.55E-08,9.55E-08,3.23E-08,6.86E-07,4.74E-09,2.55E-09,3.68E-05,4.54E-07
Total Body,3.19E-07,1.68E-07,2.94E-07,1.81E-07,2.71E-07,3.36E-07,3.27E-07,2.75E-07,3.16E-07,3.80E-07,2.37E-07,2.37E-07,3.31E-07,2.52E-07,2.62E-07,2.94E-07,3.99E-07,2.41E-07,4.15E-07,3.88E-07,3.88E-07,3.04E-07,3.40E-07,2.68E-07,3.11E-07,3.63E-07,3.84E-07
