,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,7.24E-04,4.58E-09,6.42E-07,2.17E-09,1.53E-06,1.71E-06,6.91E-07,1.40E-06,7.42E-07,1.10E-07,4.15E-07,4.15E-07,6.45E-06,2.14E-06,3.55E-07,1.88E-06,1.56E-07,1.35E-08,6.01E-07,2.69E-07,2.69E-07,3.91E-06,9.02E-09,1.53E-07,7.60E-08,7.31E-08,4.54E-07
Brain,4.58E-09,1.23E-05,8.60E-08,1.41E-06,3.55E-09,3.36E-09,1.15E-09,9.76E-09,1.86E-09,2.51E-10,1.44E-08,1.44E-08,2.61E-09,7.12E-09,3.17E-08,4.96E-09,2.47E-10,1.37E-06,2.10E-07,3.06E-07,3.06E-07,5.96E-09,5.87E-11,3.03E-08,1.27E-07,1.33E-10,3.46E-07
Esophagus,6.59E-07,8.60E-08,2.55E-04,7.17E-08,3.86E-07,3.01E-07,1.57E-07,1.88E-06,1.86E-07,8.11E-09,2.23E-06,2.24E-06,2.81E-07,8.51E-07,1.55E-06,9.39E-07,2.24E-08,3.92E-07,1.86E-07,1.90E-07,1.90E-07,5.91E-07,2.28E-09,1.43E-06,4.27E-06,1.10E-08,4.02E-07
Eyes,2.17E-09,1.48E-06,7.17E-08,6.88E-04,7.81E-09,4.45E-09,1.69E-09,9.66E-09,1.16E-09,1.21E-09,1.98E-08,1.98E-08,3.19E-09,8.49E-09,2.70E-08,6.52E-09,6.97E-10,6.71E-07,2.10E-07,3.06E-07,3.06E-07,4.46E-09,2.55E-10,3.43E-08,9.39E-08,8.46E-10,3.46E-07
Gallbladder Wall,1.55E-06,3.55E-09,3.86E-07,7.81E-09,1.24E-04,7.44E-07,6.39E-07,4.93E-07,3.61E-06,7.19E-08,4.90E-07,4.90E-07,8.02E-07,3.43E-06,3.00E-07,9.22E-07,1.15E-07,1.09E-08,2.71E-07,1.06E-07,1.06E-07,2.14E-07,7.64E-09,1.87E-07,6.35E-08,5.89E-08,4.75E-07
LLI Wall,1.71E-06,3.36E-09,3.01E-07,4.45E-09,7.44E-07,7.12E-05,2.34E-06,1.45E-06,5.33E-07,6.88E-07,3.51E-07,3.51E-07,1.08E-06,3.19E-07,2.27E-07,3.38E-06,3.88E-07,6.43E-09,4.89E-07,1.81E-07,1.81E-07,1.21E-06,2.05E-08,1.00E-07,3.80E-08,2.10E-07,4.66E-07
Small Intestine,6.91E-07,1.15E-09,1.57E-07,2.60E-09,6.39E-07,2.34E-06,1.83E-05,6.07E-07,1.75E-06,1.07E-06,1.94E-07,1.94E-07,6.13E-07,3.22E-07,9.65E-08,1.87E-06,8.04E-07,4.07E-09,4.41E-07,1.38E-07,1.38E-07,3.48E-07,5.95E-08,5.85E-08,2.09E-08,5.98E-07,4.76E-07
Stomach Wall,1.30E-06,9.35E-09,1.89E-06,9.66E-09,4.72E-07,1.45E-06,3.94E-07,3.10E-05,1.30E-07,4.87E-08,1.67E-06,1.67E-06,5.18E-07,7.00E-07,9.80E-07,5.29E-06,5.31E-08,2.49E-08,1.98E-07,9.71E-08,9.71E-08,2.20E-06,4.07E-09,3.73E-07,1.52E-07,2.45E-08,4.35E-07
ULI Wall,7.43E-07,1.86E-09,1.86E-07,1.16E-09,3.61E-06,5.33E-07,1.14E-06,1.30E-07,4.33E-05,2.09E-07,2.72E-07,2.72E-07,7.09E-07,8.66E-07,1.37E-07,1.05E-06,3.33E-07,5.17E-09,3.72E-07,1.22E-07,1.22E-07,2.11E-07,2.98E-08,7.97E-08,1.34E-08,2.39E-07,4.64E-07
Rectum,1.10E-07,2.51E-10,2.16E-08,1.21E-09,7.19E-08,6.88E-07,1.07E-06,4.87E-08,2.09E-07,7.73E-05,1.97E-08,1.97E-08,2.04E-07,4.72E-08,1.31E-08,9.61E-08,4.32E-06,3.75E-10,4.89E-07,1.81E-07,1.81E-07,7.71E-08,2.99E-07,5.75E-09,3.17E-09,2.27E-06,4.66E-07
