,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,2.43E-03,1.10E-08,1.66E-07,1.08E-06,8.60E-09,2.65E-06,7.45E-07,6.49E-07,3.03E-06,4.65E-07,9.53E-08,5.73E-07,5.73E-07,5.74E-06,2.73E-06,6.21E-07,1.98E-07,3.18E-06,2.55E-08,8.43E-07,4.30E-07,4.30E-07,1.54E-05,2.27E-07,9.93E-08,7.65E-08,1.42E-07,9.86E-07
Brain,1.10E-08,3.11E-05,4.09E-08,8.22E-08,2.15E-06,5.34E-09,4.19E-09,1.80E-09,1.35E-08,3.07E-09,5.72E-10,3.64E-08,3.64E-08,5.92E-09,1.47E-08,6.98E-08,7.99E-10,7.03E-09,1.81E-06,3.86E-07,4.31E-07,4.31E-07,1.25E-08,7.71E-08,2.28E-07,3.44E-10,5.08E-10,8.26E-07
Breasts,1.66E-07,4.09E-08,6.93E-05,4.09E-07,9.25E-08,1.33E-07,6.88E-08,7.03E-08,3.13E-07,8.93E-08,9.72E-09,8.17E-07,8.17E-07,8.11E-08,3.25E-07,6.45E-07,1.25E-08,2.18E-07,1.20E-07,1.96E-07,1.27E-07,1.27E-07,1.39E-07,8.71E-07,3.68E-07,6.21E-09,1.65E-08,7.82E-07
Esophagus,1.08E-06,8.22E-08,4.09E-07,9.05E-04,8.50E-08,4.58E-07,2.06E-07,1.32E-07,1.06E-06,1.55E-07,1.07E-08,3.57E-06,3.72E-06,4.32E-07,1.33E-06,2.01E-06,4.49E-08,1.30E-06,3.17E-07,2.80E-07,2.75E-07,2.75E-07,7.83E-07,3.00E-06,5.82E-06,2.20E-08,3.93E-08,8.55E-07
Eyes,8.60E-09,2.30E-06,9.25E-08,8.50E-08,2.13E-03,5.61E-09,4.56E-09,2.81E-09,1.63E-08,2.06E-09,2.17E-09,4.74E-08,4.74E-08,6.25E-09,1.75E-08,6.58E-08,1.40E-09,9.33E-09,1.58E-06,3.86E-07,4.31E-07,4.31E-07,1.13E-08,1.02E-07,2.33E-07,1.46E-09,2.43E-09,8.26E-07
Gallbladder Wall,2.75E-06,5.34E-09,1.33E-07,4.58E-07,5.61E-09,3.73E-04,1.98E-06,1.84E-06,6.37E-07,2.64E-06,2.02E-07,2.44E-07,2.44E-07,2.93E-06,2.43E-06,2.52E-07,4.05E-07,2.68E-06,1.19E-08,3.22E-07,1.64E-07,1.64E-07,4.91E-07,1.24E-07,5.89E-08,1.80E-07,3.28E-07,9.87E-07
LLI Wall,7.45E-07,4.19E-09,6.88E-08,2.06E-07,4.56E-09,1.98E-06,2.05E-04,1.81E-06,1.68E-06,5.47E-07,7.37E-07,1.98E-06,1.98E-06,1.03E-06,3.94E-07,1.64E-07,7.17E-07,1.01E-06,5.83E-09,7.51E-07,2.71E-07,2.71E-07,1.98E-06,7.65E-08,2.44E-08,5.08E-07,8.75E-07,1.00E-06
Small Intestine,6.50E-07,2.64E-09,7.03E-08,1.94E-07,4.11E-09,1.84E-06,1.81E-06,6.20E-05,1.07E-06,1.77E-06,7.47E-07,1.68E-07,1.68E-07,1.02E-06,5.03E-07,1.25E-07,1.41E-06,2.36E-06,8.18E-09,6.21E-07,2.10E-07,2.10E-07,7.47E-07,6.49E-08,2.69E-08,8.51E-07,1.89E-06,9.52E-07
Stomach Wall,3.12E-06,1.35E-08,3.13E-07,9.66E-07,1.63E-08,6.41E-07,1.68E-06,1.00E-06,8.29E-05,1.95E-07,7.00E-08,1.18E-06,1.18E-06,9.61E-07,7.73E-07,8.87E-07,1.14E-07,4.08E-06,3.34E-08,2.70E-07,1.59E-07,1.59E-07,4.65E-06,2.82E-07,1.34E-07,6.02E-08,9.35E-08,9.65E-07
ULI Wall,4.65E-07,4.65E-07,8.93E-08,1.55E-07,2.06E-09,2.64E-06,5.47E-07,1.77E-06,1.95E-07,1.10E-04,2.75E-07,1.34E-07,1.34E-07,9.08E-07,7.76E-07,1.05E-07,6.77E-07,8.78E-07,5.56E-09,4.99E-07,1.78E-07,1.78E-07,2.75E-07,7.33E-08,3.45E-08,2.66E-07,5.04E-07,1.00E-06
Rectum,9.53E-08,5.72E-10,9.72E-09,1.07E-08,2.17E-09,2.02E-07,7.37E-07,7.36E-07,7.00E-08,2.75E-07,2.15E-04,1.98E-08,1.98E-08,1.87E-07,6.78E-08,1.68E-08,4.22E-06,1.23E-07,8.34E-10,7.51E-07,2.71E-07,2.71E-07,8.65E-08,7.92E-09,2.57E-09,5.79E-06,1.03E-05,1.00E-06
Heart Wall,5.73E-07,4.03E-08,9.32E-07,3.69E-06,4.74E-08,2.62E-07,2.34E-07,1.63E-07,1.18E-06,1.34E-07,1.98E-08,5.41E-05,1.35E-04,2.60E-07,7.21E-07,2.24E-06,3.24E-08,6.83E-07,1.11E-07,3.24E-07,2.05E-07,2.05E-07,6.14E-07,3.61E-06,6.82E-07,1.80E-08,2.82E-08,9.70E-07
Kidneys,5.63E-06,5.92E-09,8.93E-08,4.32E-07,6.25E-09,2.87E-06,1.03E-06,9.34E-07,9.54E-07,8.98E-07,1.80E-07,2.39E-07,2.40E-07,1.27E-04,1.44E-06,2.50E-07,3.25E-07,1.70E-06,1.42E-08,6.05E-07,2.57E-07,2.57E-07,3.64E-06,1.02E-07,5.64E-08,1.32E-07,2.52E-07,9.43E-07
Liver,2.80E-06,1.57E-08,3.25E-07,1.33E-06,1.75E-08,2.42E-06,3.94E-07,4.67E-07,7.71E-07,7.68E-07,6.78E-08,7.09E-07,7.09E-07,1.46E-06,2.89E-05,9.29E-07,1.23E-07,2.18E-06,3.91E-08,2.98E-07,1.92E-07,1.92E-07,4.10E-07,4.13E-07,1.74E-07,5.93E-08,1.04E-07,9.50E-07
Lungs,5.57E-07,6.73E-08,6.45E-07,2.02E-06,6.58E-08,2.41E-07,1.64E-07,1.14E-07,8.58E-07,1.05E-07,1.68E-08,2.07E-06,2.15E-06,2.42E-07,9.04E-07,3.50E-05,2.84E-08,4.63E-07,1.87E-07,3.83E-07,2.62E-07,2.62E-07,5.25E-07,2.35E-06,1.25E-06,1.36E-08,2.38E-08,9.05E-07
Ovaries,1.98E-07,7.99E-10,1.25E-08,4.49E-08,1.40E-09,4.05E-07,7.16E-07,1.41E-06,1.14E-07,6.77E-07,4.21E-06,3.24E-08,3.24E-08,3.25E-07,1.23E-07,2.84E-08,2.88E-03,2.11E-07,1.19E-09,7.27E-07,2.36E-07,2.36E-07,1.47E-07,1.53E-08,4.77E-09,2.49E-06,8.95E-06,1.01E-06
Pancreas,2.96E-06,7.03E-09,2.18E-07,1.30E-06,9.33E-09,2.66E-06,1.01E-06,2.09E-06,3.92E-06,8.77E-07,1.22E-07,6.34E-07,6.34E-07,1.67E-06,2.15E-06,4.75E-07,2.11E-07,2.88E-04,1.97E-08,4.49E-07,2.36E-07,2.36E-07,2.22E-06,2.13E-07,8.53E-08,1.06E-07,1.86E-07,1.02E-06
Salivary Glands,2.55E-08,1.76E-06,1.20E-07,3.17E-07,1.59E-06,1.19E-08,5.83E-09,8.18E-09,3.34E-08,5.57E-09,8.34E-10,1.13E-07,1.13E-07,1.42E-08,3.91E-08,1.89E-07,1.19E-09,1.97E-08,4.66E-04,2.80E-07,2.75E-07,2.75E-07,2.69E-08,2.51E-07,9.18E-07,4.47E-09,5.62E-10,8.55E-07
Red Marrow,5.18E-07,2.23E-07,2.00E-07,1.04E-06,1.81E-07,4.96E-07,4.00E-07,4.10E-07,3.61E-07,3.16E-07,5.77E-07,5.21E-07,5.21E-07,5.04E-07,3.98E-07,6.73E-07,9.02E-07,5.57E-07,3.26E-07,1.91E-05,7.59E-07,8.57E-06,4.42E-07,7.13E-07,7.02E-07,4.45E-07,6.28E-07,7.66E-07
