,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Ovaries,6.37E-07,7.79E-09,6.82E-08,1.74E-07,7.85E-09,1.29E-06,2.32E-06,4.50E-06,4.09E-07,2.23E-06,1.35E-05,1.41E-07,1.41E-07,1.08E-06,4.42E-07,1.19E-07,5.12E-02,7.39E-07,1.52E-08,2.36E-06,7.73E-07,7.73E-07,5.31E-07,6.38E-08,2.60E-08,8.07E-06,2.91E-05,1.10E-05
Pancreas,9.48E-06,3.74E-08,7.65E-07,4.15E-06,5.14E-08,8.32E-06,3.20E-06,6.85E-06,1.26E-05,2.82E-06,4.26E-07,2.05E-06,2.05E-06,5.29E-06,6.75E-06,1.51E-06,7.40E-07,4.77E-03,8.04E-08,1.47E-06,7.70E-07,7.70E-07,7.08E-06,6.94E-07,3.11E-07,3.90E-07,6.31E-07,1.10E-05
Salivary Glands,1.15E-07,5.87E-06,4.38E-07,1.14E-06,5.22E-06,5.21E-08,3.54E-08,4.30E-08,1.40E-07,2.84E-08,5.63E-09,4.18E-07,4.18E-07,7.03E-08,1.63E-07,6.69E-07,1.52E-08,8.04E-08,8.09E-03,9.67E-07,9.63E-07,9.63E-07,1.13E-07,9.24E-07,2.99E-06,1.78E-08,7.43E-09,1.05E-05
Red Marrow,1.71E-06,7.61E-07,7.11E-07,3.40E-06,6.44E-07,1.63E-06,1.33E-06,1.35E-06,1.20E-06,1.06E-06,1.85E-06,1.70E-06,1.70E-06,1.66E-06,1.32E-06,2.20E-06,2.90E-06,1.83E-06,1.10E-06,6.19E-04,2.51E-06,3.10E-04,1.47E-06,2.34E-06,2.31E-06,1.45E-06,2.02E-06,1.46E-05
Osteogenic Cells,1.20E-06,2.71E-06,4.95E-07,2.05E-06,4.07E-06,1.16E-06,7.38E-07,8.52E-07,8.30E-07,6.09E-07,1.03E-06,1.07E-06,1.07E-06,1.08E-06,8.87E-07,1.37E-06,1.34E-06,1.40E-06,2.92E-06,4.16E-04,1.88E-03,2.06E-03,1.02E-06,1.35E-06,1.44E-06,7.38E-07,1.04E-06,1.35E-04
Spleen,4.59E-05,6.25E-08,5.54E-07,2.47E-06,6.08E-08,1.58E-06,6.55E-06,2.24E-06,1.43E-05,9.42E-07,3.09E-07,1.95E-06,1.95E-06,1.16E-05,1.33E-06,1.66E-06,5.31E-07,6.93E-06,1.13E-07,1.08E-06,6.60E-07,6.60E-07,4.40E-03,6.54E-07,3.21E-07,2.42E-07,4.09E-07,1.08E-05
Thymus,7.18E-07,3.17E-07,3.48E-06,9.84E-06,3.92E-07,4.55E-07,3.02E-07,2.40E-07,9.43E-07,2.62E-07,4.14E-08,1.19E-05,1.22E-05,2.05E-07,1.35E-06,7.97E-06,6.38E-08,7.25E-07,1.01E-06,9.42E-07,6.40E-07,6.40E-07,6.54E-07,2.82E-02,1.48E-05,3.04E-08,3.75E-08,1.07E-05
Thyroid,3.61E-07,8.35E-07,1.29E-06,1.95E-05,9.63E-07,2.15E-07,1.06E-07,7.73E-08,4.62E-07,1.58E-07,1.40E-08,2.16E-06,2.16E-06,2.02E-07,5.73E-07,4.19E-06,2.60E-08,3.11E-07,2.99E-06,9.67E-07,9.63E-07,9.63E-07,3.21E-07,1.38E-05,3.32E-02,1.76E-08,2.72E-08,1.05E-05
Urinary Bladder Wall,3.10E-07,4.08E-09,4.33E-08,8.69E-08,8.74E-09,6.56E-07,1.68E-06,2.35E-06,2.36E-07,9.31E-07,1.89E-05,8.75E-08,8.75E-08,4.27E-07,2.38E-07,6.99E-08,6.35E-06,3.90E-07,1.78E-08,1.01E-06,4.93E-07,4.93E-07,2.42E-07,3.04E-08,1.76E-08,8.76E-05,1.92E-05,1.05E-05
Uterus,4.76E-07,5.98E-09,8.50E-08,1.52E-07,1.01E-08,1.11E-06,2.82E-06,5.95E-06,3.64E-07,1.65E-06,3.44E-05,1.23E-07,1.23E-07,8.80E-07,3.79E-07,1.06E-07,2.80E-05,6.31E-07,7.43E-09,1.61E-06,5.83E-07,5.83E-07,4.09E-07,3.75E-08,2.72E-08,1.91E-05,7.14E-03,1.09E-05
Total Body,1.09E-05,1.03E-05,1.03E-05,1.01E-05,9.71E-06,1.69E-06,1.68E-06,1.67E-06,1.49E-06,1.64E-06,1.04E-05,1.05E-05,1.05E-05,1.08E-05,1.08E-05,1.06E-05,1.10E-05,1.10E-05,9.94E-06,1.07E-05,1.05E-05,1.05E-05,1.08E-05,1.06E-05,1.05E-05,1.55E-06,1.10E-05,1.05E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any bone activity on bone surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,
