,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,4.44E-01,5.97E-12,1.01E-10,7.16E-10,4.97E-12,1.80E-09,4.97E-10,4.34E-10,2.03E-09,3.00E-10,5.85E-11,3.78E-10,3.79E-10,3.73E-09,1.80E-09,3.89E-10,1.22E-10,2.10E-09,1.54E-11,5.40E-10,2.71E-10,2.71E-10,9.56E-09,1.48E-10,6.15E-11,4.60E-11,8.58E-11,9.61E-05
Brain,5.97E-12,4.44E-03,2.37E-11,4.96E-11,1.38E-09,2.82E-12,2.32E-12,9.76E-13,7.51E-12,1.61E-12,2.85E-13,2.10E-11,2.10E-11,3.21E-12,8.08E-12,4.10E-11,3.94E-13,3.90E-12,1.17E-09,2.44E-10,2.77E-10,2.77E-10,6.85E-12,4.54E-11,1.39E-10,1.69E-13,2.69E-13,9.61E-05
Breasts,1.01E-10,2.37E-11,1.15E-02,2.61E-10,5.52E-11,8.09E-11,4.21E-11,4.19E-11,1.99E-10,5.34E-11,5.42E-12,5.30E-10,5.30E-10,4.89E-11,2.06E-10,4.18E-10,6.94E-12,1.38E-10,7.35E-11,1.22E-10,7.91E-11,7.91E-11,8.54E-11,5.59E-10,2.30E-10,3.44E-12,9.40E-12,9.61E-05
Esophagus,7.16E-10,4.96E-11,2.61E-10,1.65E-01,4.95E-11,2.94E-10,1.32E-10,8.47E-11,7.05E-10,9.46E-11,6.22E-12,2.36E-09,2.42E-09,2.78E-10,8.77E-10,1.35E-09,2.65E-11,8.63E-10,2.03E-10,1.77E-10,1.72E-10,1.72E-10,5.14E-10,1.97E-09,3.84E-09,1.30E-11,2.33E-11,9.61E-05
Eyes,4.97E-12,1.48E-09,5.52E-11,4.95E-11,3.85E-01,2.81E-12,2.38E-12,1.53E-12,8.83E-12,1.06E-12,1.22E-12,2.74E-11,2.74E-11,3.36E-12,9.75E-12,3.90E-11,7.70E-13,5.30E-12,9.94E-10,2.44E-10,2.77E-10,2.77E-10,6.46E-12,5.89E-11,1.43E-10,7.94E-13,1.47E-12,9.61E-05
Gallbladder Wall,1.84E-09,2.82E-12,8.09E-11,2.94E-10,2.81E-12,1.73E-07,1.31E-09,1.22E-09,4.20E-10,1.76E-09,1.26E-10,1.58E-10,1.58E-10,1.96E-09,1.62E-09,1.59E-10,2.57E-10,1.81E-09,6.67E-12,2.01E-10,1.04E-10,1.04E-10,3.18E-10,7.99E-11,3.52E-11,1.14E-10,2.15E-10,9.61E-05
LLI Wall,4.97E-10,2.32E-12,4.21E-11,1.32E-10,2.38E-12,1.31E-09,9.11E-08,1.20E-09,1.11E-09,3.56E-10,4.81E-10,1.31E-09,1.31E-09,6.82E-10,2.56E-10,1.05E-10,4.74E-10,6.71E-10,3.13E-12,4.85E-10,1.73E-10,1.73E-10,1.31E-09,4.58E-11,1.49E-11,3.34E-10,5.81E-10,9.61E-05
Small Intestine,4.34E-10,1.43E-12,4.19E-11,1.24E-10,2.24E-12,1.22E-09,1.20E-09,2.82E-08,7.10E-10,1.17E-09,4.93E-10,1.07E-10,1.07E-10,6.75E-10,3.27E-10,7.89E-11,9.38E-10,1.56E-09,4.55E-12,4.00E-10,1.34E-10,1.34E-10,4.93E-10,3.91E-11,1.61E-11,5.61E-10,1.26E-09,9.61E-05
Stomach Wall,2.06E-09,7.51E-12,1.99E-10,6.45E-10,8.83E-12,4.23E-10,1.11E-09,6.66E-10,3.94E-08,1.25E-10,4.20E-11,7.90E-10,7.91E-10,6.34E-10,5.11E-10,5.84E-10,6.96E-11,2.71E-09,1.99E-11,1.70E-10,1.01E-10,1.01E-10,3.06E-09,1.81E-10,8.43E-11,3.52E-11,5.78E-11,9.61E-05
ULI Wall,3.00E-10,3.00E-10,5.34E-11,9.46E-11,1.06E-12,1.76E-09,3.56E-10,1.17E-09,1.25E-10,5.05E-08,1.73E-10,8.28E-11,8.28E-11,5.98E-10,5.06E-10,6.50E-11,4.42E-10,5.79E-10,3.14E-12,3.27E-10,1.14E-10,1.14E-10,1.76E-10,4.17E-11,1.97E-11,1.71E-10,3.26E-10,9.61E-05
Rectum,5.86E-11,2.85E-13,5.42E-12,6.22E-12,1.22E-12,1.26E-10,4.81E-10,4.84E-10,4.20E-11,1.73E-10,9.76E-08,1.15E-11,1.15E-11,1.15E-10,4.08E-11,9.46E-12,2.83E-09,7.45E-11,4.27E-13,4.85E-10,1.73E-10,1.73E-10,5.24E-11,4.21E-12,1.42E-12,3.86E-09,6.66E-09,9.61E-05
Heart Wall,3.79E-10,2.34E-11,6.04E-10,2.41E-09,2.74E-11,1.67E-10,1.50E-10,1.02E-10,7.93E-10,8.28E-11,1.15E-11,7.79E-03,2.31E-02,1.65E-10,4.77E-10,1.47E-09,1.91E-11,4.50E-10,6.78E-11,2.07E-10,1.31E-10,1.31E-10,4.06E-10,2.35E-09,4.49E-10,9.94E-12,1.62E-11,9.61E-05
Kidneys,3.63E-09,3.21E-12,5.36E-11,2.78E-10,3.36E-12,1.91E-09,6.81E-10,6.18E-10,6.30E-10,5.94E-10,1.13E-10,1.55E-10,1.55E-10,2.09E-02,9.51E-10,1.59E-10,2.07E-10,1.13E-09,8.06E-12,3.87E-10,1.63E-10,1.63E-10,2.39E-09,6.34E-11,3.35E-11,8.15E-11,1.59E-10,9.61E-05
Liver,1.84E-09,8.73E-12,2.06E-10,8.77E-10,9.75E-12,1.62E-09,2.56E-10,3.04E-10,5.09E-10,5.03E-10,4.08E-11,4.70E-10,4.70E-10,9.65E-10,4.12E-03,6.05E-10,7.56E-11,1.44E-09,2.29E-11,1.90E-10,1.21E-10,1.21E-10,2.66E-10,2.73E-10,1.11E-10,3.55E-11,6.31E-11,9.61E-05
Lungs,3.70E-10,4.01E-11,4.19E-10,1.35E-09,3.90E-11,1.55E-10,1.05E-10,7.20E-11,5.72E-10,6.50E-11,9.46E-12,1.40E-09,1.43E-09,1.56E-10,5.94E-10,6.07E-03,1.66E-11,3.06E-10,1.17E-10,2.47E-10,1.66E-10,1.66E-10,3.45E-10,1.53E-09,8.32E-10,7.70E-12,1.37E-11,9.61E-05
Ovaries,1.22E-10,3.94E-13,6.94E-12,2.65E-11,7.70E-13,2.57E-10,4.74E-10,9.38E-10,6.96E-11,4.42E-10,2.83E-09,1.91E-11,1.91E-11,2.07E-10,7.56E-11,1.66E-11,5.24E-01,1.33E-10,5.94E-13,4.74E-10,1.51E-10,1.51E-10,8.92E-11,8.95E-12,2.51E-12,1.65E-09,5.94E-09,9.61E-05
Pancreas,1.98E-09,3.90E-12,1.38E-10,8.63E-10,5.30E-12,1.78E-09,6.71E-10,1.40E-09,2.63E-09,5.79E-10,7.45E-11,4.22E-10,4.22E-10,1.11E-09,1.42E-09,3.09E-10,1.33E-10,4.81E-02,1.16E-11,2.87E-10,1.51E-10,1.51E-10,1.48E-09,1.38E-10,5.27E-11,6.29E-11,1.16E-10,9.61E-05
Salivary Glands,1.54E-11,1.14E-09,7.35E-11,2.03E-10,9.94E-10,6.67E-12,3.13E-12,4.55E-12,1.99E-11,3.19E-12,4.27E-13,6.79E-11,6.79E-11,8.06E-12,2.29E-11,1.18E-10,5.94E-13,1.16E-11,8.24E-02,1.77E-10,1.72E-10,1.72E-10,1.50E-11,1.57E-10,5.88E-10,2.67E-12,2.99E-13,9.61E-05
Red Marrow,3.28E-10,1.40E-10,1.24E-10,6.65E-10,1.11E-10,3.13E-10,2.54E-10,2.58E-10,2.28E-10,1.99E-10,3.70E-10,3.34E-10,3.34E-10,3.18E-10,2.52E-10,4.31E-10,5.83E-10,3.51E-10,2.05E-10,6.41E-03,4.87E-10,3.20E-03,2.79E-10,4.57E-10,4.51E-10,2.85E-10,4.04E-10,1.39E-04
Osteogenic Cells,3.32E-10,6.75E-10,1.18E-10,5.31E-10,9.64E-10,3.21E-10,2.00E-10,2.38E-10,2.29E-10,1.66E-10,2.96E-10,2.95E-10,2.95E-10,2.95E-10,2.41E-10,3.58E-10,3.82E-10,3.78E-10,7.19E-10,4.33E-03,9.20E-03,9.27E-03,2.75E-10,3.56E-10,3.79E-10,2.06E-10,3.01E-10,6.79E-04
