,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,2.49E-03,1.38E-10,7.74E-09,1.21E-07,4.22E-11,4.35E-07,9.40E-08,6.22E-08,5.61E-07,4.20E-08,2.98E-09,5.48E-08,5.48E-08,1.24E-06,5.24E-07,5.40E-08,7.90E-09,4.53E-07,5.91E-10,8.08E-08,4.02E-08,4.02E-08,4.31E-06,1.41E-08,4.82E-09,1.34E-09,4.21E-09,6.07E-07
Brain,1.38E-10,2.64E-05,1.09E-09,3.00E-09,2.27E-07,4.92E-11,4.90E-11,1.11E-11,2.07E-10,1.84E-11,1.57E-12,8.62E-10,8.63E-10,4.04E-11,2.23E-10,2.16E-09,1.87E-12,7.62E-11,1.71E-07,3.75E-08,4.94E-08,4.94E-08,1.84E-10,2.10E-09,9.76E-09,1.55E-12,1.65E-12,5.95E-07
Breasts,7.74E-09,1.09E-09,6.63E-05,3.14E-08,3.82E-09,5.76E-09,3.49E-09,2.65E-09,2.45E-08,3.84E-09,7.50E-11,8.73E-08,8.73E-08,3.10E-09,2.57E-08,7.70E-08,1.95E-10,1.40E-08,7.79E-09,1.72E-08,1.10E-08,1.10E-08,7.27E-09,8.99E-08,2.90E-08,6.43E-11,1.62E-10,5.77E-07
Esophagus,1.21E-07,3.00E-09,3.14E-08,9.26E-04,1.87E-09,3.67E-08,1.41E-08,9.10E-09,1.28E-07,7.63E-09,1.98E-10,5.89E-07,6.85E-07,3.12E-08,1.77E-07,3.25E-07,7.59E-10,1.58E-07,2.63E-08,2.11E-08,2.30E-08,2.30E-08,7.95E-08,4.58E-07,1.13E-06,5.36E-10,8.66E-10,5.90E-07
Eyes,4.22E-11,2.43E-07,3.82E-09,1.87E-09,2.17E-03,1.68E-11,1.79E-11,2.16E-11,1.94E-10,7.95E-12,3.74E-11,1.01E-09,1.01E-09,5.79E-11,2.65E-10,1.87E-09,7.98E-12,1.13E-10,1.00E-07,3.75E-08,4.94E-08,4.94E-08,1.84E-10,1.40E-09,6.85E-09,1.28E-11,6.59E-11,5.95E-07
Gallbladder Wall,4.35E-07,4.92E-11,5.78E-09,3.69E-08,1.68E-11,3.51E-04,3.85E-07,2.61E-07,5.86E-08,4.27E-07,8.74E-09,1.57E-08,1.57E-08,4.65E-07,3.69E-07,1.56E-08,2.37E-08,3.78E-07,1.41E-10,2.55E-08,1.09E-08,1.09E-08,3.62E-08,6.00E-09,2.21E-09,9.67E-09,2.09E-08,6.02E-07
LLI Wall,9.41E-08,4.90E-11,3.50E-09,1.41E-08,1.79E-11,3.85E-07,2.06E-04,2.63E-07,2.46E-07,7.44E-08,1.00E-07,3.85E-07,3.85E-07,1.33E-07,4.27E-08,1.40E-08,8.84E-08,1.13E-07,7.22E-11,8.24E-08,2.57E-08,2.57E-08,3.12E-07,2.88E-09,9.61E-10,6.32E-08,1.08E-07,6.08E-07
Small Intestine,6.23E-08,1.63E-11,2.65E-09,1.34E-08,3.16E-11,2.61E-07,2.63E-07,5.94E-05,1.43E-07,2.50E-07,8.07E-08,1.06E-08,1.06E-08,1.18E-07,4.78E-08,7.29E-09,1.83E-07,4.02E-07,1.13E-10,5.65E-08,1.69E-08,1.69E-08,8.12E-08,1.97E-09,7.89E-10,9.70E-08,2.96E-07,6.03E-07
Stomach Wall,5.38E-07,2.08E-10,2.45E-08,1.20E-07,1.94E-10,5.44E-08,2.46E-07,1.31E-07,7.41E-05,1.52E-08,2.05E-09,1.60E-07,1.60E-07,1.09E-07,8.95E-08,1.44E-07,4.31E-09,7.10E-07,9.41E-10,1.84E-08,1.25E-08,1.25E-08,8.64E-07,2.04E-08,8.22E-09,1.61E-09,3.11E-09,6.02E-07
ULI Wall,4.20E-08,4.20E-08,3.85E-09,7.63E-09,7.95E-12,4.27E-07,7.44E-08,2.50E-07,1.52E-08,1.05E-04,1.82E-08,6.68E-09,6.68E-09,1.20E-07,9.50E-08,5.48E-09,6.15E-08,9.16E-08,3.85E-11,4.72E-08,1.50E-08,1.50E-08,1.99E-08,1.49E-09,6.87E-10,1.64E-08,4.12E-08,6.07E-07
