,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Ovaries,1.27E-08,9.22E-12,4.92E-10,1.97E-09,3.54E-11,3.48E-08,8.23E-08,1.70E-07,7.51E-09,7.19E-08,5.38E-07,1.51E-09,1.51E-09,2.82E-08,8.40E-09,1.38E-09,1.82E-01,1.64E-08,1.47E-11,7.77E-08,2.31E-08,2.31E-08,9.06E-09,4.89E-10,4.08E-11,3.01E-07,1.16E-06,3.34E-05
Pancreas,3.75E-07,2.18E-10,1.82E-08,1.47E-07,2.51E-10,3.24E-07,1.17E-07,2.63E-07,5.01E-07,9.80E-08,7.88E-09,7.31E-08,7.32E-08,2.01E-07,2.59E-07,4.82E-08,1.64E-08,1.67E-02,9.57E-10,4.19E-08,2.20E-08,2.20E-08,2.75E-07,1.82E-08,6.16E-09,6.24E-09,1.36E-08,3.34E-05
Salivary Glands,1.33E-09,1.78E-07,9.02E-09,3.22E-08,1.28E-07,3.42E-10,1.79E-10,2.45E-10,1.94E-09,2.29E-10,5.58E-12,7.16E-09,7.16E-09,5.92E-10,2.10E-09,1.47E-08,1.47E-11,9.57E-10,2.86E-02,2.45E-08,2.45E-08,2.45E-08,1.04E-09,2.03E-08,8.74E-08,2.50E-10,6.43E-12,3.34E-05
Red Marrow,4.44E-08,1.89E-08,1.59E-08,9.82E-08,1.26E-08,4.05E-08,3.53E-08,3.33E-08,3.02E-08,2.62E-08,5.33E-08,4.94E-08,4.94E-08,4.31E-08,3.42E-08,6.62E-08,8.86E-08,4.51E-08,2.78E-08,2.23E-03,7.97E-08,1.11E-03,3.75E-08,7.06E-08,6.84E-08,4.22E-08,5.88E-08,4.83E-05
Osteogenic Cells,1.09E-07,2.41E-07,3.52E-08,1.92E-07,3.25E-07,1.00E-07,6.33E-08,7.08E-08,7.23E-08,4.83E-08,9.80E-08,1.03E-07,1.03E-07,9.48E-08,7.79E-08,1.33E-07,1.31E-07,1.20E-07,2.36E-07,1.50E-03,4.13E-03,4.02E-03,9.12E-08,1.31E-07,1.32E-07,6.50E-08,9.74E-08,2.96E-04
Spleen,1.75E-06,4.10E-10,1.21E-08,8.60E-08,3.74E-10,4.81E-08,2.41E-07,7.67E-08,5.57E-07,2.61E-08,4.51E-09,6.76E-08,6.76E-08,4.36E-07,3.97E-08,5.71E-08,9.06E-09,2.74E-07,1.04E-09,2.97E-08,1.84E-08,1.84E-08,1.54E-02,1.38E-08,7.03E-09,3.44E-09,7.31E-09,3.34E-05
Thymus,2.07E-08,4.06E-09,1.05E-07,3.62E-07,3.39E-09,1.00E-08,4.53E-09,3.93E-09,2.72E-08,3.07E-09,3.62E-10,4.54E-07,4.55E-07,3.10E-09,4.96E-08,3.11E-07,4.89E-10,1.90E-08,2.33E-08,2.55E-08,1.65E-08,1.65E-08,1.38E-08,1.00E-01,5.35E-07,1.63E-10,2.20E-10,3.34E-05
Thyroid,7.21E-09,1.55E-08,3.31E-08,7.16E-07,1.39E-08,3.63E-09,1.67E-09,1.02E-09,1.18E-08,1.47E-09,4.85E-11,8.13E-08,8.13E-08,2.93E-09,1.55E-08,1.48E-07,4.08E-11,6.16E-09,8.74E-08,2.45E-08,2.45E-08,2.45E-08,7.03E-09,4.96E-07,1.18E-01,3.83E-11,5.57E-10,3.34E-05
Urinary Bladder Wall,4.50E-09,5.09E-12,2.00E-10,1.12E-09,3.01E-11,1.51E-08,5.61E-08,8.04E-08,2.90E-09,2.22E-08,7.54E-07,5.58E-10,5.58E-10,7.86E-09,3.30E-09,4.80E-10,2.52E-07,6.24E-09,2.50E-10,2.77E-08,1.31E-08,1.31E-08,3.44E-09,1.63E-10,3.83E-11,5.37E-06,7.58E-07,3.34E-05
Uterus,8.88E-09,8.14E-12,3.73E-10,1.85E-09,1.39E-10,3.15E-08,1.01E-07,2.28E-07,6.19E-09,5.00E-08,1.38E-06,1.15E-09,1.15E-09,2.09E-08,6.89E-09,1.07E-09,1.11E-06,1.36E-08,6.43E-12,5.23E-08,1.62E-08,1.62E-08,7.31E-09,2.20E-10,5.57E-10,7.57E-07,2.51E-02,3.34E-05
Total Body,3.35E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,6.81E-08,6.86E-08,6.79E-08,5.99E-08,6.62E-08,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.35E-05,3.35E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,3.34E-05,6.15E-08,3.35E-05,3.34E-05
