,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Salivary Glands,5.37E-08,4.13E-06,1.18E-06,2.47E-06,5.00E-08,2.87E-08,1.50E-08,1.11E-07,2.95E-08,2.22E-09,1.56E-07,1.56E-07,4.12E-08,8.81E-08,3.43E-07,5.13E-08,5.13E-09,5.19E-04,6.17E-07,6.32E-07,6.32E-07,7.36E-08,6.60E-09,4.33E-07,1.69E-06,1.81E-09,1.35E-06
Red Marrow,1.09E-06,8.42E-07,1.68E-06,5.52E-07,5.81E-07,7.32E-07,6.41E-07,9.69E-07,5.94E-07,1.50E-06,9.94E-07,9.94E-07,9.87E-07,8.78E-07,1.53E-06,7.37E-07,2.06E-06,6.88E-07,1.97E-05,1.58E-06,1.00E-05,1.06E-06,2.64E-07,1.61E-06,1.31E-06,1.06E-06,1.24E-06
Osteogenic Cells,8.25E-07,1.53E-06,1.06E-06,1.88E-06,3.82E-07,4.84E-07,4.53E-07,6.22E-07,4.24E-07,6.42E-07,4.94E-07,4.94E-07,7.37E-07,5.11E-07,7.39E-07,5.35E-07,9.13E-07,1.64E-06,1.14E-05,1.59E-05,1.98E-05,6.95E-07,2.51E-07,5.87E-07,7.77E-07,5.54E-07,1.33E-06
Spleen,1.03E-05,3.14E-08,1.50E-06,2.46E-08,6.30E-07,3.32E-06,1.05E-06,6.23E-06,6.62E-07,2.87E-07,9.88E-07,9.88E-07,5.93E-06,8.02E-07,1.20E-06,3.40E-06,3.18E-07,7.00E-08,7.27E-07,3.96E-07,3.96E-07,3.29E-04,3.07E-08,4.24E-07,3.16E-07,1.29E-07,1.43E-06
Testes,4.99E-08,4.16E-10,1.29E-08,2.38E-09,4.49E-08,8.25E-08,1.44E-07,2.01E-08,8.29E-08,8.71E-07,1.13E-08,1.13E-08,7.90E-08,2.86E-08,8.49E-09,4.67E-08,8.22E-07,6.60E-09,2.69E-07,3.48E-07,3.48E-07,3.07E-08,1.28E-03,1.04E-08,6.99E-09,2.12E-06,1.29E-06
Thymus,4.31E-07,1.33E-07,3.25E-06,1.21E-07,6.38E-07,3.77E-07,1.41E-07,1.23E-06,2.74E-07,3.57E-08,9.47E-06,9.82E-06,2.68E-07,8.98E-07,3.72E-06,7.03E-07,5.40E-08,3.89E-07,6.65E-07,3.96E-07,3.96E-07,3.84E-07,1.04E-08,1.70E-03,5.29E-06,2.37E-08,1.35E-06
Thyroid,2.84E-07,4.77E-07,1.15E-05,3.71E-07,2.21E-07,1.38E-07,5.49E-08,4.54E-07,4.21E-08,1.22E-08,1.19E-06,1.19E-06,1.32E-07,3.97E-07,3.04E-06,2.79E-07,1.80E-08,1.69E-06,6.17E-07,6.32E-07,6.32E-07,3.16E-07,6.99E-09,5.18E-06,2.11E-03,1.52E-08,1.35E-06
Urinary Bladder Wall,2.73E-07,1.31E-09,6.28E-08,6.02E-09,2.51E-07,6.57E-07,1.10E-06,1.02E-07,7.36E-07,6.18E-06,5.75E-08,5.75E-08,3.64E-07,1.41E-07,3.84E-08,1.95E-07,9.01E-06,1.81E-09,6.47E-07,3.16E-07,3.16E-07,1.29E-07,2.12E-06,2.37E-08,1.52E-08,1.35E-04,1.53E-06
Total Body,1.13E-06,7.03E-07,1.06E-06,7.47E-07,9.95E-07,1.18E-06,1.15E-06,1.01E-06,1.12E-06,1.30E-06,8.97E-07,8.97E-07,1.16E-06,9.42E-07,9.68E-07,1.05E-06,1.35E-06,9.13E-07,1.37E-06,1.29E-06,1.29E-06,1.09E-06,1.21E-06,9.89E-07,1.11E-06,1.26E-06,1.29E-06
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any bone activity on bone surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLINDA - Organ Level INternal Dose Assessment Code (Version 2.2; copyright Vanderbilt University - 2012),,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Dose Conversion Factors [mSv/MBq-s] - Nuclide:F-18 (109.77 m) for ICRP 89 Adult Male,,,,,,,,,,,,,,,,,,,,,,,,,,,
