,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Prostate,2.09E-07,5.31E-10,3.66E-08,1.16E-09,1.49E-07,4.36E-07,5.86E-07,7.43E-08,3.92E-07,4.62E-06,3.58E-08,3.58E-08,3.50E-07,1.01E-07,2.61E-08,1.41E-07,1.92E-03,5.00E-09,2.56E-07,1.22E-07,1.22E-07,1.15E-07,3.05E-07,1.66E-08,5.61E-09,3.55E-06,8.10E-07
Salivary Glands,1.96E-08,1.61E-06,4.61E-07,9.17E-07,1.59E-08,1.01E-08,4.74E-09,3.96E-08,9.25E-09,7.53E-10,6.14E-08,6.14E-08,1.28E-08,3.07E-08,1.29E-07,1.88E-08,1.34E-09,3.84E-04,2.33E-07,2.37E-07,2.37E-07,2.64E-08,1.72E-09,1.54E-07,6.39E-07,6.40E-10,7.43E-07
Red Marrow,4.24E-07,3.22E-07,6.55E-07,2.06E-07,2.21E-07,2.80E-07,2.46E-07,3.75E-07,2.28E-07,5.90E-07,3.88E-07,3.88E-07,3.80E-07,3.41E-07,5.93E-07,2.84E-07,8.13E-07,2.60E-07,1.49E-05,6.11E-07,6.62E-06,4.10E-07,9.98E-08,6.28E-07,5.08E-07,4.18E-07,6.36E-07
Osteogenic Cells,3.97E-07,6.93E-07,4.93E-07,8.13E-07,1.85E-07,2.36E-07,2.20E-07,3.01E-07,2.06E-07,3.17E-07,2.41E-07,2.41E-07,3.52E-07,2.46E-07,3.46E-07,2.62E-07,4.46E-07,7.35E-07,8.18E-06,1.42E-05,1.83E-05,3.31E-07,1.20E-07,2.77E-07,3.63E-07,2.72E-07,7.84E-07
Spleen,4.08E-06,1.03E-08,5.94E-07,8.01E-09,2.52E-07,1.33E-06,4.11E-07,2.48E-06,2.60E-07,1.05E-07,3.91E-07,3.91E-07,2.36E-06,3.16E-07,4.70E-07,1.36E-06,1.19E-07,2.38E-08,2.76E-07,1.50E-07,1.50E-07,2.32E-04,1.00E-08,1.66E-07,1.18E-07,4.72E-08,7.74E-07
Testes,1.59E-08,1.15E-10,3.85E-09,6.30E-10,1.38E-08,3.00E-08,5.29E-08,6.93E-09,3.45E-08,3.59E-07,3.66E-09,3.66E-09,2.73E-08,9.64E-09,2.61E-09,1.52E-08,3.11E-07,1.72E-09,1.01E-07,1.32E-07,1.32E-07,1.00E-08,9.41E-04,3.57E-09,2.10E-09,8.15E-07,7.13E-07
Thymus,1.60E-07,4.62E-08,1.33E-06,4.35E-08,2.28E-07,1.36E-07,5.19E-08,4.66E-07,1.03E-07,1.06E-08,3.62E-06,3.80E-06,9.86E-08,3.77E-07,1.49E-06,2.90E-07,1.66E-08,1.51E-07,2.57E-07,1.50E-07,1.50E-07,1.63E-07,3.57E-09,1.28E-03,2.07E-06,8.12E-09,7.43E-07
Thyroid,1.04E-07,1.75E-07,4.41E-06,1.37E-07,8.37E-08,5.16E-08,1.96E-08,1.81E-07,1.64E-08,4.04E-09,4.62E-07,4.62E-07,4.84E-08,1.54E-07,1.19E-06,1.07E-07,4.89E-09,6.52E-07,2.33E-07,2.37E-07,2.37E-07,1.18E-07,2.10E-09,2.13E-06,1.59E-03,4.62E-09,7.43E-07
Urinary Bladder Wall,1.02E-07,3.45E-10,1.94E-08,1.98E-09,8.72E-08,2.58E-07,4.41E-07,3.65E-08,2.94E-07,2.48E-06,1.85E-08,1.85E-08,1.39E-07,5.11E-08,1.29E-08,7.06E-08,3.65E-06,6.40E-10,2.56E-07,1.22E-07,1.22E-07,4.72E-08,8.15E-07,8.12E-09,4.62E-09,8.98E-05,8.10E-07
Total Body,6.56E-07,4.86E-07,6.27E-07,5.02E-07,6.02E-07,6.74E-07,6.65E-07,6.07E-07,6.53E-07,7.25E-07,5.64E-07,5.64E-07,6.69E-07,5.81E-07,5.91E-07,6.27E-07,7.46E-07,5.68E-07,7.50E-07,7.17E-07,7.17E-07,6.40E-07,6.83E-07,5.98E-07,6.47E-07,7.07E-07,7.19E-07
