,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Adrenals,2.21E-03,2.64E-09,5.64E-08,4.46E-07,2.59E-09,1.14E-06,3.09E-07,2.71E-07,1.26E-06,1.80E-07,3.32E-08,2.34E-07,2.34E-07,2.44E-06,1.17E-06,2.24E-07,6.94E-08,1.31E-06,8.13E-09,3.22E-07,1.58E-07,1.58E-07,6.56E-06,9.11E-08,3.50E-08,2.48E-08,4.77E-08,6.63E-07
Brain,2.64E-09,2.49E-05,1.19E-08,2.71E-08,8.30E-07,1.11E-09,9.95E-10,3.95E-10,3.39E-09,6.16E-10,8.55E-11,1.05E-08,1.05E-08,1.34E-09,3.66E-09,2.14E-08,1.14E-10,1.78E-09,7.02E-07,1.44E-07,1.65E-07,1.65E-07,3.09E-09,2.37E-08,7.70E-08,4.25E-11,9.60E-11,6.01E-07
Breasts,5.64E-08,1.19E-08,5.98E-05,1.54E-07,2.97E-08,4.48E-08,2.31E-08,2.22E-08,1.16E-07,2.85E-08,2.48E-09,3.19E-07,3.19E-07,2.64E-08,1.21E-07,2.52E-07,3.17E-09,8.14E-08,4.12E-08,6.98E-08,4.52E-08,4.52E-08,4.80E-08,3.31E-07,1.32E-07,1.45E-09,4.53E-09,5.76E-07
Esophagus,4.46E-07,2.71E-08,1.54E-07,8.20E-04,2.61E-08,1.75E-07,7.81E-08,5.05E-08,4.39E-07,5.37E-08,3.06E-09,1.46E-06,1.54E-06,1.68E-07,5.44E-07,8.46E-07,1.42E-08,5.37E-07,1.18E-07,1.03E-07,9.90E-08,9.90E-08,3.16E-07,1.21E-06,2.38E-06,6.91E-09,1.25E-08,6.07E-07
Eyes,2.59E-09,8.93E-07,2.97E-08,2.61E-08,1.92E-03,1.00E-09,9.06E-10,6.33E-10,3.87E-09,3.31E-10,5.80E-10,1.40E-08,1.40E-08,1.46E-09,4.53E-09,2.06E-08,3.44E-10,2.54E-09,5.79E-07,1.44E-07,1.65E-07,1.65E-07,3.09E-09,3.03E-08,8.08E-08,3.40E-10,8.00E-10,6.01E-07
Gallbladder Wall,1.16E-06,1.11E-09,4.49E-08,1.75E-07,1.00E-09,3.19E-04,8.06E-07,7.60E-07,2.58E-07,1.10E-06,7.34E-08,9.47E-08,9.47E-08,1.23E-06,1.02E-06,9.35E-08,1.53E-07,1.15E-06,3.22E-09,1.15E-07,6.12E-08,6.12E-08,1.94E-07,4.84E-08,1.91E-08,6.73E-08,1.33E-07,6.69E-07
LLI Wall,3.09E-07,9.95E-10,2.31E-08,7.81E-08,9.06E-10,8.06E-07,1.83E-04,7.42E-07,6.80E-07,2.15E-07,2.94E-07,8.06E-07,8.06E-07,4.20E-07,1.55E-07,6.19E-08,2.94E-07,4.20E-07,1.26E-09,2.93E-07,1.02E-07,1.02E-07,8.13E-07,2.47E-08,8.15E-09,2.06E-07,3.61E-07,6.69E-07
Small Intestine,2.71E-07,5.78E-10,2.22E-08,7.43E-08,9.26E-10,7.60E-07,7.42E-07,5.36E-05,4.42E-07,7.26E-07,3.05E-07,6.29E-08,6.30E-08,4.19E-07,1.98E-07,4.57E-08,5.86E-07,9.86E-07,2.11E-09,2.41E-07,7.98E-08,7.98E-08,3.04E-07,2.15E-08,8.63E-09,3.46E-07,7.97E-07,6.53E-07
Stomach Wall,1.29E-06,3.39E-09,1.16E-07,4.04E-07,3.87E-09,2.62E-07,6.80E-07,4.14E-07,6.85E-05,7.40E-08,2.28E-08,4.97E-07,4.97E-07,3.92E-07,3.18E-07,3.70E-07,3.92E-08,1.71E-06,1.06E-08,9.97E-08,6.00E-08,6.00E-08,1.93E-06,1.08E-07,4.90E-08,1.85E-08,3.26E-08,6.53E-07
ULI Wall,1.80E-07,1.80E-07,2.85E-08,5.37E-08,3.31E-10,1.10E-06,2.15E-07,7.26E-07,7.40E-08,9.46E-05,1.02E-07,4.69E-08,4.69E-08,3.72E-07,3.11E-07,3.66E-08,2.69E-07,3.58E-07,1.50E-09,2.02E-07,6.75E-08,6.75E-08,1.04E-07,2.12E-08,9.69E-09,1.03E-07,1.97E-07,6.69E-07
Rectum,3.32E-08,8.55E-11,2.48E-09,3.06E-09,5.80E-10,7.34E-08,2.94E-07,2.98E-07,2.28E-08,1.02E-07,1.87E-04,5.71E-09,5.71E-09,6.61E-08,2.22E-08,4.56E-09,1.78E-06,4.16E-08,1.63E-10,2.93E-07,1.02E-07,1.02E-07,2.91E-08,1.77E-09,6.62E-10,2.41E-06,4.32E-06,6.69E-07
Heart Wall,2.35E-07,1.19E-08,3.63E-07,1.52E-06,1.40E-08,9.91E-08,8.99E-08,5.86E-08,4.98E-07,4.69E-08,5.71E-09,4.36E-05,1.18E-04,9.79E-08,2.96E-07,9.45E-07,1.00E-08,2.77E-07,3.76E-08,1.23E-07,7.81E-08,7.81E-08,2.51E-07,1.49E-06,2.76E-07,4.54E-09,8.18E-09,6.56E-07
Kidneys,2.35E-06,1.34E-09,2.88E-08,1.68E-07,1.46E-09,1.20E-06,4.20E-07,3.82E-07,3.90E-07,3.68E-07,6.59E-08,9.36E-08,9.37E-08,1.09E-04,5.94E-07,9.40E-08,1.23E-07,7.11E-07,3.88E-09,2.31E-07,9.60E-08,9.60E-08,1.53E-06,3.65E-08,1.81E-08,4.63E-08,9.43E-08,6.44E-07
