,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Liver,1.18E-06,3.96E-09,1.21E-07,5.44E-07,4.53E-09,1.01E-06,1.55E-07,1.85E-07,3.14E-07,3.07E-07,2.22E-08,2.92E-07,2.92E-07,6.01E-07,2.31E-05,3.86E-07,4.28E-08,9.16E-07,1.18E-08,1.12E-07,7.10E-08,7.10E-08,1.61E-07,1.69E-07,6.58E-08,1.91E-08,3.52E-08,6.47E-07
Lungs,2.30E-07,2.12E-08,2.52E-07,8.46E-07,2.06E-08,9.27E-08,6.19E-08,4.19E-08,3.58E-07,3.66E-08,4.56E-09,8.81E-07,9.23E-07,9.36E-08,3.83E-07,3.11E-05,8.56E-09,1.90E-07,6.79E-08,1.49E-07,9.80E-08,9.80E-08,2.12E-07,1.03E-06,5.20E-07,3.69E-09,6.80E-09,6.35E-07
Ovaries,6.94E-08,1.14E-10,3.17E-09,1.42E-08,3.44E-10,1.53E-07,2.94E-07,5.85E-07,3.92E-08,2.69E-07,1.78E-06,1.00E-08,1.00E-08,1.23E-07,4.28E-08,8.56E-09,2.62E-03,7.81E-08,1.61E-10,2.89E-07,9.04E-08,9.04E-08,4.93E-08,4.71E-09,1.01E-09,1.02E-06,3.71E-06,6.73E-07
Pancreas,1.24E-06,1.78E-09,8.14E-08,5.37E-07,2.54E-09,1.11E-06,4.20E-07,8.74E-07,1.65E-06,3.58E-07,4.16E-08,2.63E-07,2.63E-07,6.95E-07,8.95E-07,1.89E-07,7.81E-08,2.50E-04,6.08E-09,1.71E-07,9.01E-08,9.01E-08,9.21E-07,8.49E-08,2.98E-08,3.36E-08,6.76E-08,6.77E-07
Salivary Glands,8.13E-09,6.81E-07,4.12E-08,1.18E-07,5.80E-07,3.22E-09,1.26E-09,2.11E-09,1.06E-08,1.55E-09,1.63E-10,3.72E-08,3.72E-08,3.88E-09,1.18E-08,6.71E-08,1.61E-10,6.08E-09,4.16E-04,1.03E-07,9.90E-08,9.90E-08,7.17E-09,9.06E-08,3.52E-07,1.44E-09,1.01E-10,6.07E-07
Red Marrow,1.94E-07,8.09E-08,7.05E-08,3.96E-07,6.24E-08,1.84E-07,1.50E-07,1.52E-07,1.35E-07,1.16E-07,2.23E-07,2.00E-07,2.00E-07,1.86E-07,1.48E-07,2.58E-07,3.52E-07,2.06E-07,1.20E-07,1.87E-05,2.90E-07,6.88E-06,1.63E-07,2.74E-07,2.70E-07,1.71E-07,2.43E-07,5.08E-07
Osteogenic Cells,2.45E-07,4.94E-07,8.36E-08,3.93E-07,6.88E-07,2.35E-07,1.47E-07,1.74E-07,1.68E-07,1.20E-07,2.20E-07,2.21E-07,2.21E-07,2.17E-07,1.77E-07,2.68E-07,2.86E-07,2.76E-07,5.16E-07,7.23E-06,1.89E-05,2.40E-05,2.02E-07,2.66E-07,2.80E-07,1.52E-07,2.24E-07,6.66E-07
Spleen,6.51E-06,3.09E-09,5.31E-08,3.16E-07,3.09E-09,1.94E-07,8.12E-07,2.78E-07,1.82E-06,1.04E-07,2.91E-08,2.48E-07,2.48E-07,1.48E-06,1.55E-07,2.03E-07,4.93E-08,9.29E-07,7.17E-09,1.20E-07,7.34E-08,7.34E-08,2.30E-04,7.42E-08,3.04E-08,1.89E-08,3.94E-08,6.47E-07
Thymus,9.11E-08,2.37E-08,3.95E-07,1.21E-06,3.03E-08,4.74E-08,2.47E-08,2.15E-08,1.08E-07,2.12E-08,1.97E-09,1.50E-06,1.56E-06,1.81E-08,1.83E-07,1.13E-06,4.71E-09,9.01E-08,9.15E-08,1.02E-07,6.83E-08,6.83E-08,7.42E-08,1.44E-03,1.85E-06,1.53E-09,1.74E-09,6.34E-07
Thyroid,3.50E-08,7.70E-08,1.32E-07,2.38E-06,8.08E-08,1.91E-08,8.15E-09,5.87E-09,4.90E-08,9.69E-09,6.62E-10,2.87E-07,2.87E-07,1.80E-08,6.58E-08,5.13E-07,1.01E-09,2.98E-08,3.51E-07,1.03E-07,9.90E-08,9.90E-08,3.04E-08,1.67E-06,1.69E-03,5.43E-10,2.66E-09,6.07E-07
Urinary Bladder Wall,2.48E-08,5.71E-11,1.45E-09,6.91E-09,3.40E-10,6.73E-08,2.06E-07,2.86E-07,1.85E-08,1.03E-07,2.41E-06,4.54E-09,4.54E-09,4.19E-08,1.91E-08,3.69E-09,8.43E-07,3.36E-08,1.44E-09,1.16E-07,5.87E-08,5.87E-08,1.89E-08,1.53E-09,5.43E-10,9.45E-05,2.50E-06,6.54E-07
Uterus,4.77E-08,9.60E-11,4.53E-09,1.25E-08,8.00E-10,1.30E-07,3.61E-07,7.82E-07,3.26E-08,1.96E-07,4.35E-06,8.18E-09,8.18E-09,9.72E-08,3.51E-08,6.80E-09,3.57E-06,6.76E-08,1.01E-10,2.10E-07,6.95E-08,6.95E-08,3.93E-08,1.74E-09,2.66E-09,2.48E-06,3.74E-04,6.69E-07
Total Body,6.71E-07,5.99E-07,5.77E-07,5.67E-07,5.13E-07,6.51E-07,6.50E-07,6.49E-07,6.25E-07,6.45E-07,6.06E-07,6.23E-07,6.23E-07,6.51E-07,6.52E-07,6.35E-07,6.78E-07,6.84E-07,5.42E-07,6.39E-07,6.22E-07,6.22E-07,6.55E-07,6.32E-07,6.14E-07,6.32E-07,6.80E-07,6.19E-07
