,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Prostate,7.03E-07,5.34E-09,1.45E-07,7.93E-09,5.34E-07,1.37E-06,1.87E-06,2.84E-07,1.23E-06,1.50E-05,1.51E-07,1.51E-07,1.13E-06,3.66E-07,1.14E-07,4.86E-07,3.33E-02,2.96E-08,7.90E-07,3.93E-07,3.93E-07,4.22E-07,9.89E-07,8.74E-08,2.84E-08,1.14E-05,8.95E-06
Salivary Glands,8.50E-08,5.32E-06,1.55E-06,3.09E-06,7.57E-08,5.27E-08,2.46E-08,1.47E-07,5.01E-08,8.93E-09,2.45E-07,2.45E-07,6.08E-08,1.28E-07,4.73E-07,9.01E-08,8.65E-09,6.67E-03,7.76E-07,7.97E-07,7.97E-07,1.17E-07,8.25E-09,5.80E-07,2.18E-06,5.62E-09,8.74E-06
Red Marrow,1.40E-06,1.08E-06,2.15E-06,7.13E-07,7.53E-07,9.31E-07,8.20E-07,1.23E-06,7.72E-07,1.90E-06,1.27E-06,1.27E-06,1.26E-06,1.14E-06,1.94E-06,9.52E-07,2.60E-06,8.91E-07,4.77E-04,2.03E-06,2.38E-04,1.37E-06,3.48E-07,2.09E-06,1.67E-06,1.34E-06,1.22E-05
Osteogenic Cells,1.15E-06,2.22E-06,1.52E-06,2.70E-06,5.21E-07,6.64E-07,6.17E-07,8.73E-07,5.71E-07,9.18E-07,7.06E-07,7.06E-07,1.02E-06,7.19E-07,1.08E-06,7.31E-07,1.30E-06,2.34E-06,4.15E-04,1.88E-03,2.06E-03,9.95E-07,3.48E-07,8.61E-07,1.12E-06,7.88E-07,1.51E-04
Spleen,1.34E-05,5.77E-08,1.91E-06,5.19E-08,8.43E-07,4.30E-06,1.36E-06,8.10E-06,8.67E-07,3.81E-07,1.27E-06,1.27E-06,7.66E-06,1.06E-06,1.54E-06,4.30E-06,4.19E-07,1.08E-07,9.21E-07,5.13E-07,5.13E-07,3.82E-03,5.80E-08,5.60E-07,3.88E-07,2.03E-07,8.84E-06
Testes,7.07E-08,1.75E-09,2.50E-08,3.76E-09,7.63E-08,1.27E-07,2.05E-07,4.44E-08,9.98E-08,1.24E-06,2.54E-08,2.54E-08,1.25E-07,5.40E-08,2.02E-08,6.99E-08,1.04E-06,8.25E-09,3.39E-07,4.41E-07,4.41E-07,5.80E-08,1.62E-02,1.35E-08,8.92E-09,2.65E-06,8.66E-06
Thymus,5.78E-07,2.06E-07,4.50E-06,2.41E-07,7.30E-07,4.51E-07,1.92E-07,1.55E-06,3.75E-07,4.58E-08,1.20E-05,1.23E-05,3.52E-07,1.21E-06,4.96E-06,1.07E-06,8.74E-08,5.56E-07,8.71E-07,5.14E-07,5.14E-07,5.49E-07,1.35E-08,2.26E-02,6.68E-06,3.41E-08,8.75E-06
Thyroid,3.60E-07,6.53E-07,1.47E-05,5.57E-07,3.15E-07,1.86E-07,8.03E-08,5.95E-07,6.44E-08,3.17E-08,1.54E-06,1.54E-06,1.88E-07,5.18E-07,3.64E-06,3.78E-07,3.49E-08,2.18E-06,7.76E-07,7.97E-07,7.97E-07,3.88E-07,8.92E-09,7.00E-06,2.82E-02,2.06E-08,8.74E-06
Urinary Bladder Wall,3.53E-07,3.81E-09,8.10E-08,8.39E-09,3.39E-07,8.57E-07,1.42E-06,1.59E-07,1.01E-06,7.92E-06,8.89E-08,8.89E-08,4.90E-07,2.03E-07,6.42E-08,2.83E-07,1.17E-05,5.62E-09,7.90E-07,3.93E-07,3.93E-07,2.03E-07,2.65E-06,3.41E-08,2.06E-08,8.79E-05,8.95E-06
Total Body,8.44E-06,7.89E-06,8.35E-06,7.95E-06,8.02E-07,1.03E-06,1.00E-06,8.14E-07,9.68E-07,8.67E-06,8.15E-06,8.15E-06,8.49E-06,8.20E-06,8.23E-06,8.35E-06,8.73E-06,8.16E-06,8.78E-06,8.66E-06,8.66E-06,8.40E-06,8.55E-06,8.26E-06,8.42E-06,1.14E-06,8.67E-06
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any bone activity on bone surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,
