,Adrenals ,Brain,Breasts  ,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Ovaries,Pancreas,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Thymus,Thyroid,UB Cont,Uterus,Tot Body
Ovaries,5.55E-08,5.93E-11,2.38E-09,1.12E-08,2.49E-10,1.26E-07,2.37E-07,4.72E-07,3.17E-08,2.21E-07,1.41E-06,7.90E-09,7.90E-09,1.01E-07,3.49E-08,6.69E-09,2.21E-03,6.48E-08,8.19E-11,2.34E-07,7.31E-08,7.31E-08,3.93E-08,3.65E-09,6.38E-10,8.10E-07,2.88E-06,5.58E-07
Pancreas,9.95E-07,1.30E-09,6.57E-08,4.34E-07,1.85E-09,8.94E-07,3.43E-07,6.90E-07,1.30E-06,2.91E-07,3.39E-08,2.18E-07,2.18E-07,5.60E-07,7.10E-07,1.52E-07,6.48E-08,2.10E-04,4.78E-09,1.39E-07,7.32E-08,7.32E-08,7.39E-07,7.13E-08,2.41E-08,2.66E-08,5.60E-08,5.61E-07
Salivary Glands,6.51E-09,5.48E-07,3.24E-08,9.59E-08,4.64E-07,2.35E-09,8.73E-10,1.52E-09,8.56E-09,1.23E-09,9.73E-11,2.90E-08,2.90E-08,2.95E-09,9.17E-09,5.29E-08,8.19E-11,4.78E-09,3.50E-04,8.30E-08,7.86E-08,7.86E-08,5.30E-09,7.28E-08,2.81E-07,1.09E-09,6.15E-11,5.04E-07
Red Marrow,1.57E-07,6.31E-08,5.59E-08,3.12E-07,4.93E-08,1.49E-07,1.20E-07,1.23E-07,1.08E-07,9.30E-08,1.80E-07,1.61E-07,1.61E-07,1.50E-07,1.19E-07,2.05E-07,2.84E-07,1.66E-07,9.46E-08,1.54E-05,2.22E-07,5.78E-06,1.30E-07,2.17E-07,2.15E-07,1.36E-07,1.97E-07,4.15E-07
Osteogenic Cells,2.07E-07,3.88E-07,6.94E-08,3.14E-07,5.35E-07,2.00E-07,1.24E-07,1.50E-07,1.43E-07,1.03E-07,1.88E-07,1.84E-07,1.84E-07,1.83E-07,1.49E-07,2.12E-07,2.40E-07,2.32E-07,4.14E-07,5.98E-06,1.31E-05,1.74E-05,1.68E-07,2.14E-07,2.29E-07,1.30E-07,1.93E-07,5.14E-07
Spleen,4.99E-06,2.22E-09,4.25E-08,2.56E-07,2.27E-09,1.60E-07,6.40E-07,2.26E-07,1.41E-06,8.52E-08,2.37E-08,2.02E-07,2.02E-07,1.15E-06,1.27E-07,1.63E-07,3.93E-08,7.44E-07,5.30E-09,9.68E-08,5.91E-08,5.91E-08,1.94E-04,6.12E-08,2.45E-08,1.51E-08,3.22E-08,5.36E-07
Thymus,7.59E-08,1.86E-08,3.14E-07,9.53E-07,2.29E-08,3.83E-08,1.94E-08,1.74E-08,8.92E-08,1.61E-08,1.56E-09,1.17E-06,1.23E-06,1.43E-08,1.52E-07,8.89E-07,3.65E-09,7.57E-08,7.47E-08,8.14E-08,5.42E-08,5.42E-08,6.12E-08,1.21E-03,1.45E-06,1.13E-09,1.26E-09,5.26E-07
Thyroid,2.84E-08,6.18E-08,1.04E-07,1.83E-06,6.58E-08,1.51E-08,6.61E-09,4.66E-09,4.03E-08,7.38E-09,4.70E-10,2.38E-07,2.38E-07,1.38E-08,5.37E-08,3.97E-07,6.38E-10,2.41E-08,2.80E-07,8.30E-08,7.86E-08,7.86E-08,2.45E-08,1.32E-06,1.43E-03,3.65E-10,2.15E-09,5.04E-07
Urinary Bladder Wall,2.07E-08,3.22E-11,1.06E-09,5.46E-09,2.32E-10,5.57E-08,1.64E-07,2.28E-07,1.43E-08,8.40E-08,1.86E-06,3.31E-09,3.31E-09,3.35E-08,1.53E-08,2.78E-09,6.78E-07,2.66E-08,1.09E-09,9.40E-08,4.86E-08,4.86E-08,1.51E-08,1.13E-09,3.65E-10,7.94E-05,1.96E-06,5.49E-07
Uterus,3.90E-08,6.11E-11,3.26E-09,9.86E-09,6.46E-10,1.08E-07,2.92E-07,6.25E-07,2.69E-08,1.61E-07,3.30E-06,6.30E-09,6.30E-09,7.91E-08,2.85E-08,5.24E-09,2.78E-06,5.60E-08,6.15E-11,1.73E-07,5.68E-08,5.68E-08,3.22E-08,1.26E-09,2.15E-09,1.94E-06,3.14E-04,5.55E-07
Total Body,5.56E-07,4.96E-07,4.80E-07,4.76E-07,4.33E-07,5.45E-07,5.43E-07,5.42E-07,5.23E-07,5.39E-07,5.08E-07,5.22E-07,5.22E-07,5.40E-07,5.40E-07,5.27E-07,5.62E-07,5.67E-07,4.56E-07,5.29E-07,5.16E-07,5.16E-07,5.43E-07,5.24E-07,5.09E-07,5.29E-07,5.64E-07,5.14E-07
